tipo_teste,metrica,estrategia_a,estrategia_b,n_pares,media_a,media_b,media_diff_a_menos_b,mediana_diff_a_menos_b,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_stat,wilcoxon_pvalue,permutation_pvalue,cohen_dz,vencedor_media,significativo_wilcoxon_5pct,significativo_permutation_5pct
pareado_estrategias,cagr,markowitz_restrito__min_vol,markowitz_restrito__max_sharpe,17,0.14112898683931216,0.17029260443130992,-0.029163617591997735,-0.026984375148259687,-0.0454546122107845,-0.013531178272943653,0.0,0.007685794055213263,0.002599480103979204,-0.8466482182987047,markowitz_restrito__max_sharpe,True,True
pareado_estrategias,cagr,equal_weight,markowitz_puro__min_vol,17,0.1477840116953175,0.14126362331983988,0.006520388375477637,0.006531617466067008,-0.0004815312826003226,0.013623978873580437,39.0,0.079681396484375,0.09478104379124175,0.42284158343156075,equal_weight,False,False
pareado_estrategias,cagr,markowitz_restrito__min_vol,hrp,17,0.14112898683931216,0.1401520467116437,0.0009769401276684946,7.570353934416296e-05,-0.0013452449055948324,0.003918772831178182,46.0,0.683239071626591,0.5810837832433513,0.17263441219736622,markowitz_restrito__min_vol,False,False
pareado_estrategias,cagr,markowitz_puro__min_vol,hrp,17,0.14126362331983988,0.1401520467116437,0.0011115766081961761,-0.00111764491636146,-0.003219579643194833,0.005772025762665056,76.0,1.0,0.6342731453709258,0.11630602568921468,markowitz_puro__min_vol,False,False
pareado_estrategias,cagr,markowitz_puro__min_vol,markowitz_restrito__min_vol,17,0.14126362331983988,0.14112898683931216,0.00013463648052768144,-0.00111764491636146,-0.005942132863199562,0.006250270596049217,68.0,0.7118988037109375,0.9668066386722656,0.010337508611684091,markowitz_puro__min_vol,False,False
pareado_estrategias,calmar,markowitz_puro__max_sharpe,hrp,17,0.9013818351993961,0.6046063618446373,0.2967754733547586,0.2494008326608972,0.1746681729437833,0.43342338141437714,2.0,4.57763671875e-05,0.0001999600079984003,1.0984140636288666,markowitz_puro__max_sharpe,True,True
pareado_estrategias,calmar,markowitz_puro__max_sharpe,markowitz_restrito__min_vol,17,0.9013818351993961,0.6059383030244136,0.2954435321749824,0.2143611815149521,0.1689933619287792,0.43906270157016697,2.0,4.57763671875e-05,0.0001999600079984003,1.0593619957230238,markowitz_puro__max_sharpe,True,True
pareado_estrategias,calmar,markowitz_puro__max_sharpe,markowitz_restrito__max_sharpe,17,0.9013818351993961,0.6800894157866693,0.22129241941272676,0.11783981804771076,0.11807265915602357,0.34373005878879226,2.0,4.57763671875e-05,0.0001999600079984003,0.9194793641835948,markowitz_puro__max_sharpe,True,True
pareado_estrategias,calmar,equal_weight,markowitz_puro__max_sharpe,17,0.5711531850945999,0.9013818351993961,-0.3302286501047962,-0.2522692083636706,-0.49803086538350266,-0.18388350031245998,2.0,4.57763671875e-05,0.0001999600079984003,-1.0098351515065134,markowitz_puro__max_sharpe,True,True
pareado_estrategias,calmar,markowitz_puro__min_vol,hrp,17,0.8240050216206732,0.6046063618446373,0.2193986597760358,0.06970177440528574,0.0781745160812908,0.38732877016124057,12.0,0.001068115234375,0.0011997600479904018,0.6619988403041476,markowitz_puro__min_vol,True,True
pareado_estrategias,calmar,markowitz_restrito__max_sharpe,hrp,17,0.6800894157866693,0.6046063618446373,0.07548305394203188,0.08840112804233302,0.040516233225510866,0.11010526955186437,7.0,0.0042856952994814864,0.0011997600479904018,0.989618062842423,markowitz_restrito__max_sharpe,True,True
pareado_estrategias,calmar,equal_weight,markowitz_restrito__max_sharpe,17,0.5711531850945999,0.6800894157866693,-0.10893623069206945,-0.1528571357120979,-0.16015332914623345,-0.05826885772639663,26.0,0.0149993896484375,0.0013997200559888023,-1.0022472608484803,markowitz_restrito__max_sharpe,True,True
pareado_estrategias,calmar,markowitz_restrito__min_vol,markowitz_restrito__max_sharpe,17,0.6059383030244136,0.6800894157866693,-0.07415111276225574,-0.06952140427134035,-0.11145093508242748,-0.03789253010825299,0.0,0.007685794055213263,0.002599480103979204,-0.9308770219310163,markowitz_restrito__max_sharpe,True,True
pareado_estrategias,calmar,equal_weight,markowitz_puro__min_vol,17,0.5711531850945999,0.8240050216206732,-0.25285183652607335,-0.09207101345243274,-0.45368818278853124,-0.08306939178125544,16.0,0.0025787353515625,0.003599280143971206,-0.640113307334075,markowitz_puro__min_vol,True,True
pareado_estrategias,calmar,markowitz_puro__min_vol,markowitz_restrito__min_vol,17,0.8240050216206732,0.6059383030244136,0.21806671859625965,0.09362502029449382,0.0691068076430848,0.38918291985648235,22.0,0.007904052734375,0.00599880023995201,0.6365766323343497,markowitz_puro__min_vol,True,True
pareado_estrategias,calmar,equal_weight,markowitz_restrito__min_vol,17,0.5711531850945999,0.6059383030244136,-0.0347851179298137,-0.0010460980052910962,-0.06485042447615995,-0.00993159203475833,41.0,0.0983734130859375,0.017196560687862426,-0.5801455946003512,markowitz_restrito__min_vol,False,True
