secao,secao_titulo,arquivo_stem,titulo_tabela,caminho_html
06_comparacao_familias,Comparação consolidada,final_base100_familias_ancora_etfs_com_tudo,Final Base100 Familias Ancora Etfs Com Tudo,resultados/tabelas_finais/06_comparacao_familias/final_base100_familias_ancora_etfs_com_tudo.html
06_comparacao_familias,Comparação consolidada,final_base100_familias_ancora_etfs_todos,Final Base100 Familias Ancora Etfs Todos,resultados/tabelas_finais/06_comparacao_familias/final_base100_familias_ancora_etfs_todos.html
06_comparacao_familias,Comparação consolidada,final_crises_familias_ancora,Final Crises Familias Ancora,resultados/tabelas_finais/06_comparacao_familias/final_crises_familias_ancora.html
06_comparacao_familias,Comparação consolidada,final_drawdown_familias_ancora_etfs_com_tudo,Final Drawdown Familias Ancora Etfs Com Tudo,resultados/tabelas_finais/06_comparacao_familias/final_drawdown_familias_ancora_etfs_com_tudo.html
06_comparacao_familias,Comparação consolidada,final_drawdown_familias_ancora_etfs_todos,Final Drawdown Familias Ancora Etfs Todos,resultados/tabelas_finais/06_comparacao_familias/final_drawdown_familias_ancora_etfs_todos.html
06_comparacao_familias,Comparação consolidada,final_impacto_alternativos_familia_estrategia,Final Impacto Alternativos Familia Estrategia,resultados/tabelas_finais/06_comparacao_familias/final_impacto_alternativos_familia_estrategia.html
06_comparacao_familias,Comparação consolidada,final_melhores_estrategias_por_familia,Final Melhores Estrategias Por Familia,resultados/tabelas_finais/06_comparacao_familias/final_melhores_estrategias_por_familia.html
06_comparacao_familias,Comparação consolidada,final_resumo_cenario_familia_estrategia,Final Resumo Cenario Familia Estrategia,resultados/tabelas_finais/06_comparacao_familias/final_resumo_cenario_familia_estrategia.html
06_comparacao_familias,Comparação consolidada,final_resumo_familia_estrategia,Final Resumo Familia Estrategia,resultados/tabelas_finais/06_comparacao_familias/final_resumo_familia_estrategia.html
06_comparacao_familias,Comparação consolidada,final_vitorias_familia_estrategia,Final Vitorias Familia Estrategia,resultados/tabelas_finais/06_comparacao_familias/final_vitorias_familia_estrategia.html
07_testes_estatisticos,Testes estatísticos,testes_estatisticos_cenario_alternativos,Testes Estatisticos Cenario Alternativos,resultados/tabelas_finais/07_testes_estatisticos/testes_estatisticos_cenario_alternativos.html
07_testes_estatisticos,Testes estatísticos,testes_estatisticos_pareados_estrategias,Testes Estatisticos Pareados Estrategias,resultados/tabelas_finais/07_testes_estatisticos/testes_estatisticos_pareados_estrategias.html
07_testes_estatisticos,Testes estatísticos,testes_estatisticos_resumo_geral,Testes Estatisticos Resumo Geral,resultados/tabelas_finais/07_testes_estatisticos/testes_estatisticos_resumo_geral.html
07_testes_estatisticos,Testes estatísticos,testes_estatisticos_resumo_significancias_cenario,Testes Estatisticos Resumo Significancias Cenario,resultados/tabelas_finais/07_testes_estatisticos/testes_estatisticos_resumo_significancias_cenario.html
07_testes_estatisticos,Testes estatísticos,testes_estatisticos_resumo_significancias_estrategias,Testes Estatisticos Resumo Significancias Estrategias,resultados/tabelas_finais/07_testes_estatisticos/testes_estatisticos_resumo_significancias_estrategias.html
