carteira,metodo,qtd_estrategias,retorno_total_medio,cagr_medio,vol_anual_media,sharpe_medio,max_drawdown_medio,calmar_medio,peso_max_medio,hhi_medio,n_efetivo_medio,score_medio
etfs_com_petroleo,equal_weight,1,3.4603315561405745,0.1432650713302508,0.14384543382946186,1.097988898957424,-0.21794988941096372,0.657330323577783,,,,234.0
etfs_com_tudo,markowitz_puro,2,7.066716158408033,0.20055602218641067,0.10460527731579947,1.8715645588396537,-0.11645233714398207,1.7450771034857733,0.3805340504785968,0.27404875580213683,3.6565365080770764,33.5
etfs_com_tudo,hrp,1,4.427570334256509,0.1635513746499615,0.12528076259662738,1.3673610285991922,-0.17830505423190968,0.9172559653706785,0.18776714788232163,0.06380396562192717,15.673007002817632,99.0
etfs_com_tudo,markowitz_restrito,2,6.859237434037412,0.19655408489845994,0.13337483062880734,1.4917828987214545,-0.2105079230586605,0.9275464741337989,0.09999999999999992,0.06236581022708562,16.0436437289185,111.5
etfs_com_tudo,equal_weight,1,4.905224061594626,0.17235622825607733,0.1440016796321268,1.2715594923273479,-0.23695812190062482,0.7273699963251729,,,,182.0
etfs_desenvolvidos_emergentes,equal_weight,1,2.8806864203835367,0.12910214057280744,0.15524069172688146,0.9502850839298949,-0.3139025909907759,0.41128090139466594,,,,361.0
etfs_desenvolvidos_emergentes,hrp,1,2.868644269192397,0.12880053275133352,0.15523117739634315,0.9485388146661474,-0.314045689380536,0.4101331019871542,0.5,0.5,2.0,364.0
etfs_desenvolvidos_emergentes,markowitz_restrito,2,2.868644269192397,0.12880053275133352,0.15523117739634315,0.9485388146661474,-0.314045689380536,0.4101331019871542,0.5,0.5,2.0,364.0
etfs_desenvolvidos_emergentes,markowitz_puro,2,2.8893972477927887,0.12932928217687234,0.15600058751825077,0.9480999435271125,-0.31683449524647395,0.4083347705088628,0.6330927345305908,0.5401288495356174,1.8556478401119831,367.0
etfs_europa,markowitz_puro,2,2.4899177851030068,0.11829403030416985,0.16539636059175272,0.846995662022924,-0.273429453171859,0.43368120378035396,0.7587441986036148,0.7503058440368777,1.49877811867296,379.0
etfs_europa,hrp,1,2.4565833680976694,0.11747302402810389,0.1673982484686757,0.8347986364189383,-0.2967036485327713,0.39592713001346475,0.573619540966915,0.4200595866043434,2.38061463632755,406.0
etfs_europa,equal_weight,1,2.527874946130015,0.11950625281952365,0.17427705611952443,0.8194471587991194,-0.33654649467557285,0.35509581799307216,,,,429.0
etfs_europa,markowitz_restrito,2,2.5154264427266675,0.11916354072761881,0.17433331812840042,0.8173666266971791,-0.33705643001506136,0.3535418111510111,0.3333333333333333,0.3333333333333333,3.0,434.0
etfs_exterior,markowitz_restrito,2,4.021350968540463,0.15393105259147644,0.15539000721362894,1.0900229453591561,-0.2314462712426008,0.6633939661436868,0.09999999999999998,0.07232271478228894,13.827098624000396,246.5
etfs_exterior,markowitz_puro,2,5.882893794530452,0.1773443833379622,0.1638260114482063,1.1487589799166025,-0.25526148245123786,0.6822080129930688,0.3888324034509275,0.27360097998031013,3.7722798264173876,255.5
etfs_exterior,equal_weight,1,3.5323201470987042,0.14490532109553667,0.1561844666927013,1.0367252367961648,-0.2524855771824779,0.5739152418627455,,,,288.0
etfs_exterior,hrp,1,3.2621714500241703,0.13863586218157398,0.15552210004805558,1.0053755078634563,-0.24036026329375737,0.5767836175655189,0.07028865506522801,0.0497097577678713,20.11677475214586,294.0
etfs_global,equal_weight,1,3.8133551042180844,0.1510895705969293,0.16346637535195085,1.03206220915005,-0.2898539823682681,0.5212609789330598,,,,300.0
etfs_global,markowitz_restrito,2,3.8076970298454116,0.15098322294641364,0.16348591666953435,1.0313078515487781,-0.29009286930113,0.5204651300466334,0.3333333333333333,0.3333333333333333,3.0,305.0
etfs_global,markowitz_puro,2,3.8831708278995953,0.1523856781401257,0.1637561699943088,1.036042476393288,-0.2886575161958706,0.5289853963709987,0.7768031342543718,0.7528736320234315,1.488636094635738,310.5
etfs_global,hrp,1,3.6127305510417003,0.1467240820539928,0.16297248649359827,1.0116689382843647,-0.2953748639791586,0.4967385514034313,0.5049918271747147,0.37754573420573084,2.648685733673483,323.0
etfs_latam,markowitz_restrito,2,3.721646892241285,0.14912317280704546,0.18670189147877456,0.9270613290279923,-0.25289233916005915,0.5896705819651709,0.3333333333333333,0.3333333333333333,3.0,324.0
etfs_latam,markowitz_puro,2,3.6946375832957448,0.1458961866279227,0.1903247893673762,0.8924164587683427,-0.24927796300142135,0.6062403703562073,0.49195665448589543,0.40388547184247436,2.476037949118205,328.0
etfs_latam,equal_weight,1,3.674171825117437,0.14806912916026116,0.18605477122862873,0.9249132889209893,-0.25645652532561036,0.5773654188454164,,,,332.0
etfs_latam,hrp,1,2.905391223637679,0.12975659367501002,0.1776446785700167,0.8682136905819822,-0.26717078735474276,0.48566909189335294,0.4994100946440785,0.385219644102677,2.595921613315905,371.0
etfs_oceania,markowitz_puro,2,2.370140956598362,0.11488565418792551,0.18468310272520358,0.7674624740648772,-0.2618696811315286,0.44211020854316285,0.8495078834826923,0.7896072755008203,1.3632379817381068,406.0
etfs_oceania,equal_weight,1,2.1392519741629843,0.10786745861955027,0.18460896685479145,0.7308340832643169,-0.3090700123633605,0.34900654966401295,,,,449.0
etfs_oceania,hrp,1,2.082984363678859,0.10608493341222269,0.1844917873849193,0.7223268701389715,-0.3108083787756095,0.34131941304198726,0.5,0.5,2.0,452.0
etfs_oceania,markowitz_restrito,2,2.082984363678859,0.10608493341222269,0.1844917873849193,0.7223268701389715,-0.3108083787756095,0.34131941304198726,0.5,0.5,2.0,452.0
etfs_todos,markowitz_puro,2,5.339329587059118,0.1748213949803742,0.1295234532365996,1.3930486549639645,-0.20715787504509076,0.836320329214229,0.40540866804024106,0.29424997465444774,3.4942777758525736,138.0
etfs_todos,markowitz_restrito,2,3.971959960679637,0.15323247905005222,0.13495043602840134,1.2167303468438004,-0.2161443363028821,0.7096223473834309,0.09999999999999995,0.06852991622416191,14.603041655661665,183.5
etfs_todos,equal_weight,1,3.5307787611913923,0.1448704501162843,0.14605855350293956,1.0934432342484701,-0.23156453502164198,0.6256158789719019,,,,250.0
etfs_todos,hrp,1,3.1735146962797876,0.13649450059169754,0.14275603548050556,1.0631444614396675,-0.21955132949812006,0.6216974449834352,0.0744424833634646,0.04676056227474544,21.385542674282224,255.0
