carteira,tipo,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_no_limite_min,n_ativos_no_limite_max,pct_ativos_no_limite_min,pct_ativos_no_limite_max
etfs_com_ouro_petroleo,min_vol,26,26,0.09999999999999998,0.019999999999999997,0.038461538461538464,0.020000000000000014,0.09999999999999998,0.29999999999999993,0.4974028526011992,0.06426899727832472,15.55960171074987,0.36574488683217665,baixa,18,4,0.6923076923076923,0.15384615384615385
etfs_com_petroleo,max_sharpe,25,25,0.1,0.02,0.04,0.02,0.1,0.30000000000000004,0.5,0.06869180016420316,14.55777833175964,0.3741419967946862,baixa,17,6,0.68,0.24
etfs_com_petroleo,min_vol,25,25,0.1,0.02,0.04,0.020000000000000046,0.1,0.30000000000000004,0.5,0.06465791476903117,15.466010674364714,0.3658402765811184,baixa,15,5,0.6,0.2
etfs_com_tudo,max_sharpe,27,27,0.0999999999999999,0.01999999999999998,0.037037037037037035,0.01999999999999998,0.0999999999999999,0.2999999999999997,0.4798325282733414,0.060831321639975205,16.438899781241176,0.35588963772328985,baixa,19,4,0.7037037037037037,0.14814814814814814
etfs_com_tudo,min_vol,27,27,0.10000000000000003,0.020000000000000004,0.037037037037037035,0.020000000000000025,0.10000000000000003,0.3000000000000001,0.5000000000000001,0.06386351891253389,15.658391786546849,0.36054625465107004,baixa,19,5,0.7037037037037037,0.18518518518518517
etfs_desenvolvidos_emergentes,max_sharpe,2,2,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,2.0,0.0,alta,0,2,0.0,1.0
etfs_desenvolvidos_emergentes,min_vol,2,2,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,2.0,0.0,alta,0,2,0.0,1.0
etfs_europa,max_sharpe,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,3.0,0.0,alta,0,3,0.0,1.0
etfs_europa,min_vol,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,3.0,0.0,alta,0,3,0.0,1.0
etfs_exterior,max_sharpe,22,22,0.09999999999999996,0.01999999999999999,0.04545454545454546,0.020000000000000184,0.09999999999999996,0.2999999999999999,0.4999999999999996,0.07269742600909257,13.755645211907858,0.3781904883165579,baixa,13,6,0.5909090909090909,0.2727272727272727
