data,ticker_1,ticker_2,janela,correlacao
2021-10-06,^BVSP,BZ=F,12m,0.2657201611259898
2021-10-07,^BVSP,BZ=F,12m,0.265807741521303
2021-10-08,^BVSP,BZ=F,12m,0.2680282125646892
2021-10-11,^BVSP,BZ=F,12m,0.2646259329910367
2021-10-12,^BVSP,BZ=F,12m,0.2631001554769481
2021-10-13,^BVSP,BZ=F,12m,0.261428295890335
2021-10-14,^BVSP,BZ=F,12m,0.265830710927446
2021-10-15,^BVSP,BZ=F,12m,0.24829667694996363
2021-10-18,^BVSP,BZ=F,12m,0.25679272751066423
2021-10-19,^BVSP,BZ=F,12m,0.2462879251819976
2021-10-20,^BVSP,BZ=F,12m,0.24741743475563635
2021-10-21,^BVSP,BZ=F,12m,0.24832354708786994
2021-10-22,^BVSP,BZ=F,12m,0.23319255988081403
2021-10-25,^BVSP,BZ=F,12m,0.2476837864705063
2021-10-26,^BVSP,BZ=F,12m,0.2561226208772911
2021-10-27,^BVSP,BZ=F,12m,0.24093350814071743
2021-10-28,^BVSP,BZ=F,12m,0.23687566049129086
2021-10-29,^BVSP,BZ=F,12m,0.23033881057151623
2021-11-01,^BVSP,BZ=F,12m,0.22560955743265235
2021-11-02,^BVSP,BZ=F,12m,0.23011883641051864
2021-11-03,^BVSP,BZ=F,12m,0.22346121237570027
2021-11-04,^BVSP,BZ=F,12m,0.23618403446250222
2021-11-05,^BVSP,BZ=F,12m,0.24117675446556094
2021-11-08,^BVSP,BZ=F,12m,0.2411755744994544
2021-11-09,^BVSP,BZ=F,12m,0.24237229759018578
2021-11-10,^BVSP,BZ=F,12m,0.23505281153861682
2021-11-11,^BVSP,BZ=F,12m,0.22154603952567803
2021-11-12,^BVSP,BZ=F,12m,0.22598249868885964
2021-11-15,^BVSP,BZ=F,12m,0.22597192140712474
2021-11-16,^BVSP,BZ=F,12m,0.22596851205232943
2021-11-17,^BVSP,BZ=F,12m,0.2273164869351924
2021-11-18,^BVSP,BZ=F,12m,0.23065994127942283
2021-11-19,^BVSP,BZ=F,12m,0.22834279042211075
2021-11-22,^BVSP,BZ=F,12m,0.22417353212263058
2021-11-23,^BVSP,BZ=F,12m,0.22965097906833976
2021-11-24,^BVSP,BZ=F,12m,0.22868998002793428
2021-11-25,^BVSP,BZ=F,12m,0.22782701066834746
2021-11-26,^BVSP,BZ=F,12m,0.2694714616418175
2021-11-29,^BVSP,BZ=F,12m,0.26238448960681265
2021-11-30,^BVSP,BZ=F,12m,0.2685455118131714
2021-12-01,^BVSP,BZ=F,12m,0.2718242016459279
2021-12-02,^BVSP,BZ=F,12m,0.27678334895796947
2021-12-03,^BVSP,BZ=F,12m,0.27752592062708514
2021-12-06,^BVSP,BZ=F,12m,0.28520752108999997
2021-12-07,^BVSP,BZ=F,12m,0.2875021907804494
2021-12-08,^BVSP,BZ=F,12m,0.2837038951373887
2021-12-09,^BVSP,BZ=F,12m,0.29042340358150615
2021-12-10,^BVSP,BZ=F,12m,0.28877084189576957
2021-12-13,^BVSP,BZ=F,12m,0.2890577178372486
2021-12-14,^BVSP,BZ=F,12m,0.28886577891220716
2021-12-15,^BVSP,BZ=F,12m,0.29085516288137175
2021-12-16,^BVSP,BZ=F,12m,0.29161794205744623
2021-12-17,^BVSP,BZ=F,12m,0.29341827447221247
2021-12-20,^BVSP,BZ=F,12m,0.2989997695382534
2021-12-21,^BVSP,BZ=F,12m,0.29967881082487363
2021-12-22,^BVSP,BZ=F,12m,0.2980230846831628
2021-12-23,^BVSP,BZ=F,12m,0.29808753337536287
2021-12-24,^BVSP,BZ=F,12m,0.29755376804114303
2021-12-27,^BVSP,BZ=F,12m,0.298801349570015
2021-12-28,^BVSP,BZ=F,12m,0.28675461113281625
2021-12-29,^BVSP,BZ=F,12m,0.285675728208502
2021-12-30,^BVSP,BZ=F,12m,0.28373177376113584
2021-12-31,^BVSP,BZ=F,12m,0.2746846442140179
2022-01-03,^BVSP,BZ=F,12m,0.27313223118646096
2022-01-04,^BVSP,BZ=F,12m,0.2591317751376845
2022-01-05,^BVSP,BZ=F,12m,0.2551940629477184
2022-01-06,^BVSP,BZ=F,12m,0.25945763977701397
2022-01-07,^BVSP,BZ=F,12m,0.25911326699860954
2022-01-10,^BVSP,BZ=F,12m,0.2591213400844624
2022-01-11,^BVSP,BZ=F,12m,0.2666552792394041
2022-01-12,^BVSP,BZ=F,12m,0.26416020215712244
2022-01-13,^BVSP,BZ=F,12m,0.26419501391773653
2022-01-14,^BVSP,BZ=F,12m,0.265506635393066
2022-01-17,^BVSP,BZ=F,12m,0.2667620629129937
2022-01-18,^BVSP,BZ=F,12m,0.27257584735787366
2022-01-19,^BVSP,BZ=F,12m,0.2740024771702586
2022-01-20,^BVSP,BZ=F,12m,0.2678856394110416
2022-01-21,^BVSP,BZ=F,12m,0.26781953651373264
2022-01-24,^BVSP,BZ=F,12m,0.26946543339954715
2022-01-25,^BVSP,BZ=F,12m,0.2737681169817624
2022-01-26,^BVSP,BZ=F,12m,0.27555977879099247
2022-01-27,^BVSP,BZ=F,12m,0.27426680570594075
2022-01-28,^BVSP,BZ=F,12m,0.27505920137593626
2022-01-31,^BVSP,BZ=F,12m,0.2760354789688039
2022-02-01,^BVSP,BZ=F,12m,0.2713565901605884
2022-02-02,^BVSP,BZ=F,12m,0.27176326613566354
2022-02-03,^BVSP,BZ=F,12m,0.27065889128282133
2022-02-04,^BVSP,BZ=F,12m,0.2700808435000201
2022-02-07,^BVSP,BZ=F,12m,0.2703207037791277
2022-02-08,^BVSP,BZ=F,12m,0.26743498643774166
2022-02-09,^BVSP,BZ=F,12m,0.29827349332320285
2022-02-10,^BVSP,BZ=F,12m,0.29390836062259934
2022-02-11,^BVSP,BZ=F,12m,0.2927700777258334
2022-02-14,^BVSP,BZ=F,12m,0.29165515665786895
2022-02-15,^BVSP,BZ=F,12m,0.289544006555159
2022-02-16,^BVSP,BZ=F,12m,0.29158716034762433
2022-02-17,^BVSP,BZ=F,12m,0.2976442886427355
2022-02-18,^BVSP,BZ=F,12m,0.2983844599501589
2022-02-21,^BVSP,BZ=F,12m,0.2939257958817442
2022-02-22,^BVSP,BZ=F,12m,0.2847139796131358
2022-02-23,^BVSP,BZ=F,12m,0.28368468671519925
2022-02-24,^BVSP,BZ=F,12m,0.2812938784372891
2022-02-25,^BVSP,BZ=F,12m,0.2849368592851521
2022-02-28,^BVSP,BZ=F,12m,0.2843929377216096
2022-03-01,^BVSP,BZ=F,12m,0.28047276693284684
2022-03-02,^BVSP,BZ=F,12m,0.2949986453705146
2022-03-03,^BVSP,BZ=F,12m,0.2954077323964713
2022-03-04,^BVSP,BZ=F,12m,0.2910421026632061
2022-03-07,^BVSP,BZ=F,12m,0.25767068916975516
2022-03-08,^BVSP,BZ=F,12m,0.25125580660445906
2022-03-09,^BVSP,BZ=F,12m,0.18010225416164233
2022-03-10,^BVSP,BZ=F,12m,0.17048357571630052
2022-03-11,^BVSP,BZ=F,12m,0.17408045355208507
2022-03-14,^BVSP,BZ=F,12m,0.18776437098209545
2022-03-15,^BVSP,BZ=F,12m,0.18818447426281895
2022-03-16,^BVSP,BZ=F,12m,0.1820280348103531
2022-03-17,^BVSP,BZ=F,12m,0.19731609473220615
2022-03-18,^BVSP,BZ=F,12m,0.19694868035444194
2022-03-21,^BVSP,BZ=F,12m,0.19990830653539657
2022-03-22,^BVSP,BZ=F,12m,0.196808443402472
2022-03-23,^BVSP,BZ=F,12m,0.20627178261758783
2022-03-24,^BVSP,BZ=F,12m,0.19713550618100875
2022-03-25,^BVSP,BZ=F,12m,0.19720872171132078
2022-03-28,^BVSP,BZ=F,12m,0.1958437861338924
2022-03-29,^BVSP,BZ=F,12m,0.1922268372792917
2022-03-30,^BVSP,BZ=F,12m,0.19004113984561063
2022-03-31,^BVSP,BZ=F,12m,0.18954739912376367
2022-04-01,^BVSP,BZ=F,12m,0.17780429534686537
