data,moeda_original,fator_brl,metodo_conversao,ticker_fx_1,ticker_fx_2
2020-02-18,INR,0.06063838412051581,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-02-19,INR,0.060842479349420664,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-02-20,INR,0.06075667199301904,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-02-21,INR,0.06091111075460098,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-02-24,INR,0.061065451911087365,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-02-25,INR,0.06088550771951606,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-02-26,INR,0.061037978595126496,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-02-27,INR,0.06208329517265598,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-02-28,INR,0.062349505266005245,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-02,INR,0.06155647605517167,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-03,INR,0.061412980379233595,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-04,INR,0.061536358057078466,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-05,INR,0.0619022786300194,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-06,INR,0.06236806979655185,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-09,INR,0.062028261109933425,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-10,INR,0.0634747186870177,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-11,INR,0.06255777717333144,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-12,INR,0.0643900430728328,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-13,INR,0.06361487437302227,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-16,INR,0.06566085902846908,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-17,INR,0.06651586760255812,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-18,INR,0.0676873056886631,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-19,INR,0.06806916037817956,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-20,INR,0.06777834716989162,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-23,INR,0.06671990902160196,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-24,INR,0.06720649531651457,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-25,INR,0.06598628024725928,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-26,INR,0.06636781568470163,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-27,INR,0.0672139132534273,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-30,INR,0.06764234310530925,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-03-31,INR,0.06886869545653296,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-01,INR,0.0690806482155848,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-02,INR,0.06765760099505824,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-03,INR,0.06812678291356145,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-06,INR,0.0701626598823859,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-07,INR,0.06957555154792683,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-08,INR,0.06811505063317957,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-09,INR,0.06745086093860664,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-10,INR,0.06661187204552865,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-13,INR,0.06703078565938547,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-14,INR,0.06759198741944417,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-15,INR,0.06798277401864006,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-16,INR,0.06782580438801533,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-17,INR,0.06743457496056848,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-20,INR,0.06834769965371335,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-21,INR,0.06884341836685692,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-22,INR,0.06905341739136661,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-23,INR,0.07142539242863144,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-24,INR,0.0724014511799922,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-27,INR,0.0730626786199724,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-28,INR,0.07419443958672733,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-29,INR,0.07189433127447042,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-04-30,INR,0.07088634324962673,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-01,INR,0.07245113366796119,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-04,INR,0.07244661267765906,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-05,INR,0.07304680258737761,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-06,INR,0.07323224679316453,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-07,INR,0.07505059182656026,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-08,INR,0.07661302345229881,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-11,INR,0.07251903460220355,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-12,INR,0.07622985313750341,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-13,INR,0.07775898185542474,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-14,INR,0.07804184973407224,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-15,INR,0.07696098623612535,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-18,INR,0.07722500513614428,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-19,INR,0.07564804950126103,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-20,INR,0.07572631515907613,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-21,INR,0.07509236981913592,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-22,INR,0.07342016679790087,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-25,INR,0.0727604120966081,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-26,INR,0.07152016813895257,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-27,INR,0.07048272133542532,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-28,INR,0.06925916204912719,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-05-29,INR,0.07113744513247955,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-01,INR,0.07064724800025957,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-02,INR,0.07086358769027612,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-03,INR,0.06926322924883976,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-04,INR,0.06700113015284392,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-05,INR,0.06778565531138359,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-08,INR,0.06567334471384578,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-09,INR,0.06375669371254311,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-10,INR,0.06487104645063191,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-11,INR,0.0655314636589579,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-12,INR,0.0651263234759778,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-15,INR,0.0664561959715062,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-16,INR,0.06782498739658482,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-17,INR,0.06840519210181029,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-18,INR,0.06829392553554436,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-19,INR,0.07038183325038094,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-22,INR,0.06963742973678899,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-23,INR,0.0692956028705205,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-24,INR,0.06812788731702213,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-25,INR,0.07037778138161999,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-26,INR,0.07094934826529098,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-29,INR,0.07247969534972754,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-06-30,INR,0.07136196101656944,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-01,INR,0.07210165192101936,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-02,INR,0.07045532637050389,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-03,INR,0.07171879432465644,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-06,INR,0.07112278614447032,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-07,INR,0.07176614822747496,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-08,INR,0.07158468988382083,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-09,INR,0.07129179246834916,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-10,INR,0.07084948856355133,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-13,INR,0.07087555073359741,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-14,INR,0.07159046210299147,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-15,INR,0.07101290150439032,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-16,INR,0.07144033414087314,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-17,INR,0.07091101207228334,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-20,INR,0.0719024621952955,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-21,INR,0.07104547565166497,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-22,INR,0.0691427025625444,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-23,INR,0.06840550851716642,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-24,INR,0.06965363154811222,ccyusd_x_usdbrl,INRUSD=X,BRL=X
