ticker,media,mediana,std,skew,kurtosis,p1,p5,p95,p99,nome_ativo,classe,tipo_ativo,rank_cauda_negativa,rank_kurtosis
FEZ,0.0006626631395354008,0.0,0.016632374128861108,0.033338370336382456,5.448754828592701,-0.04146747041845502,-0.024311390018264767,0.02686840975513527,0.04735473045804037,SPDR EURO STOXX 50 ETF,ETF,etf,19.0,21.0
GC=F,0.0007928541168072537,0.00026260317618875817,0.014243027520759625,-0.04362079147544058,3.699556485542874,-0.03408312488360952,-0.02191330094554067,0.023497162215337486,0.03821735628304487,Ouro Spot/Front,Commodity,commodity,41.0,38.0
GLD,0.0007767817431538801,4.629142136369779e-05,0.014342714178471973,0.011625853790655906,2.9287986898560923,-0.03416396305183152,-0.02163398241395409,0.02390330047737832,0.03750143864821713,SPDR Gold Shares,ETF,etf,40.0,41.0
IEMG,0.0006178004214694836,0.0,0.016464067854812196,0.21217231330117464,3.9047589373919576,-0.04070693417887161,-0.024381065032069715,0.027046695193844172,0.043063029956190685,iShares Core MSCI Emerging Markets ETF,ETF,etf,20.0,36.0
INDA,0.0005745618597390896,0.0,0.0171945613999606,0.09828342627842922,7.247626596749162,-0.041864829425699246,-0.024538693006150414,0.028467112877830214,0.04524627503711233,iShares MSCI India ETF,ETF,etf,18.0,11.0
MCHI,0.000537383875892415,0.0,0.02025057659130311,0.633954274914704,6.365446978727922,-0.049832620553871054,-0.03099680191616727,0.03354229061056113,0.05550564274077046,iShares MSCI China ETF,ETF,etf,7.0,13.0
QQQ,0.0010135133315962717,0.0004602110811589011,0.01736940377746145,0.29823649621754544,4.45359058453184,-0.042868730268468845,-0.026554762050744474,0.02818674497209872,0.04612623627198201,Invesco QQQ Trust,ETF,etf,14.0,31.0
SMAL11.SA,0.00043145210562842547,0.0,0.01624401078750871,-1.1356642039542901,13.280718394530966,-0.04254125798255182,-0.02419596034841942,0.024061484818678647,0.0375985529123855,iShares Small Caps ETF,ETF,etf,15.0,3.0
SPY,0.0008112638695313162,0.0,0.01524086366051267,0.396707033411081,5.812351963381495,-0.036948301790553285,-0.021997736733626483,0.024876464717019875,0.04108995861291526,SPDR S&P 500 ETF,ETF,etf,32.0,17.0
USO,0.0004779308269718531,0.0,0.026395861883710424,-0.4126007285664414,9.197497761914356,-0.0669093855931917,-0.03968021827608781,0.03965574392496496,0.06800833749042118,United States Oil Fund,ETF,etf,2.0,7.0
VEA,0.0006448017446948212,0.0,0.014964394373960932,0.18129847762803453,4.8867055791444685,-0.037637967223831455,-0.021796483804749522,0.02457083575644714,0.04162618710188005,Vanguard FTSE Developed Markets ETF,ETF,etf,30.0,26.0
VT,0.0007172896409957275,0.0,0.014950408234376183,0.30371242291643563,5.4998239532248725,-0.036396058290790824,-0.02166903268268372,0.024195677235212765,0.04090006216606706,Vanguard Total World Stock ETF,ETF,etf,35.0,20.0
