carteira,tipo,coluna_retorno,data_inicio,data_fim,n_meses,retorno_total,retorno_anualizado_media,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_universo,n_ativos_validos,n_ativos_com_peso_manifesto,periodo_inicio,periodo_fim
etfs_com_btc,min_vol,etfs_com_btc__min_vol,2015-02-28,2026-04-30,135,333.9377,15.043,14.0468,11.7852,1.2764263465972474,2.1352092819479473,-18.0903,0.776481722761096,69.6296,0.14853502261002705,-0.09819231968484782,25,6,36.9411,0.0,4.0,0.0,36.9411,77.3652,97.0383,0.24552688300272868,4.072873763435862,0.8498145312159824,media,25,25,6,2015-02-28,2026-04-30
etfs_america_norte,min_vol,etfs_america_norte__min_vol,2015-02-28,2026-04-30,135,560.9315,19.9132,18.4259,17.7702,1.1205980313021124,2.1727968190959417,-20.1963,0.9123436232598303,57.7778,0.1819229773102701,-0.14803250049016017,3,2,87.0156,0.0,33.3333,12.9844,87.0156,100.0,100.0,0.7740310924392197,1.2919377655084627,0.5801040737379173,alta,3,3,2,2015-02-28,2026-04-30
etfs_global,min_vol,etfs_global__min_vol,2015-02-28,2026-04-30,135,356.1585,16.3734,14.558,16.249,1.0076534321587263,1.6752926051325425,-29.6733,0.4906076688093808,60.0,0.18279236149469386,-0.15349853832745824,3,2,55.3606,0.0,33.3333,44.6394,55.3606,100.0,100.0,0.505747264046863,1.977272189271476,0.3690708456724958,alta,3,3,2,2015-02-28,2026-04-30
etfs_exterior,min_vol,etfs_exterior__min_vol,2015-02-28,2026-04-30,135,274.1076,14.3457,12.5416,14.6148,0.9815867779506359,1.5220603655600706,-23.3015,0.5382315757597215,63.7037,0.18272637047550244,-0.16200070302902891,22,8,33.7258,0.0,4.5455,0.0,33.7258,72.8245,91.0886,0.22535004664162483,4.437540683496304,0.8070448756729014,media,22,22,8,2015-02-28,2026-04-30
etfs_desenvolvidos_emergentes,min_vol,etfs_desenvolvidos_emergentes__min_vol,2015-02-28,2026-04-30,135,282.6086,14.6079,12.7683,15.5035,0.9422313682237379,1.4914509010485673,-32.1078,0.3976693698908179,65.9259,0.17331237435445826,-0.15899384058956267,2,2,58.4608,41.5392,50.0,50.0,58.4608,100.0,100.0,0.5143170995714134,1.9443257881826446,0.08460821346480873,alta,2,2,2,2015-02-28,2026-04-30
etfs_asia,min_vol,etfs_asia__min_vol,2015-02-28,2026-04-30,135,273.458,14.5113,12.5241,16.3959,0.8850544162334677,1.3469894054807483,-29.891,0.4189924117280035,64.4444,0.1709278172179948,-0.16523795499567082,6,4,47.8863,0.0,16.6667,12.9396,47.8863,91.1153,100.0,0.334909536478845,2.985880935233286,0.5437410841745633,alta,6,6,4,2015-02-28,2026-04-30
etfs_europa,min_vol,etfs_europa__min_vol,2015-02-28,2026-04-30,135,229.6771,13.4434,11.2746,16.1669,0.8315380272748774,1.3763439590132354,-25.2134,0.4471668314455049,57.7778,0.18286787167613694,-0.1414587138800053,3,1,100.0,0.0,33.3333,0.0,100.0,100.0,100.0,1.0,1.0,0.6666666666666667,alta,3,3,1,2015-02-28,2026-04-30
etfs_latam,min_vol,etfs_latam__min_vol,2015-02-28,2026-04-30,135,259.4952,14.6605,12.1408,17.6823,0.8291059021141083,1.168931700863546,-27.9646,0.43414752497805625,62.2222,0.205456174265154,-0.19529543802996832,3,3,49.2258,12.1429,33.3333,38.6313,49.2258,100.0,100.0,0.4063004942420692,2.4612325462843554,0.2472190934495071,alta,3,3,3,2015-02-28,2026-04-30
etfs_oceania,min_vol,etfs_oceania__min_vol,2015-02-28,2026-04-30,135,225.2084,13.81,11.1387,18.3107,0.7542067919602864,1.3808037305262097,-28.1206,0.39610369324601774,58.5185,0.20086115708339494,-0.1420524880702366,2,2,69.9016,30.0984,50.0,50.0,69.9016,100.0,100.0,0.5792145510016407,1.7264759634762137,0.19901576696538492,alta,2,2,2,2015-02-28,2026-04-30
etfs_brasil,min_vol,etfs_brasil__min_vol,2015-02-28,2026-04-30,135,287.6425,15.3857,12.9004,21.8605,0.7038128560832033,0.968175538935241,-37.6517,0.3426235653202174,60.0,0.1734619660884924,-0.3106361876142466,2,1,100.0,0.0,50.0,50.0,100.0,100.0,100.0,1.0,1.0,0.5,alta,2,2,1,2015-02-28,2026-04-30
