ticker_yahoo,000001.SS,ACWI,ARGT,BOVA11.SA,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,GLD,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,USO,VEA,VT,XLE,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^HSI,^KS11,^MXX,^N225,^NDX,^NSEI,^NZ50,^STOXX50E,^TWII,BRL=X,BTC-USD,BZ=F,GC=F
QQQ,0.4139296568305648,0.9419609913182668,0.6893410132194412,0.34601247956729103,0.6372820522332213,0.7337303976781822,0.8095642743300783,0.8159704308116873,0.7166015363810051,0.8158197680079823,0.818633022429253,0.7865014733606721,0.6950993822135803,0.7628606643189337,0.6944267474796892,0.8240533629976303,0.48970694470007264,0.8383905913141287,0.7359546327512001,0.7038734051642216,1.0,0.311094281029279,0.9590517578788157,0.3830993884382232,0.8630348156774481,0.9376467728105488,0.6018262307215,0.3752306072752471,0.3468764626156676,0.5611789013869831,0.5811776289165635,0.9590965903558484,0.3894258143735729,0.33136478146991377,0.47118813231940837,0.4117769271621566,0.9991982642074905,0.4450482121027464,0.4245248126401765,0.5869264244517178,0.3732117938764133,0.5989351839574699,0.33598306177658765,0.3493160409320022,0.4647110722095979
SMAL11.SA,0.05506520154715387,0.35254088753164553,0.41652217188886914,0.846960432947298,0.3868103440621285,0.3079616397993918,0.38297184405425216,0.3294604544680802,0.2478914463307722,0.28863583098806617,0.31887546331759176,0.33492837631992145,0.4001345013220978,0.3508155327218333,0.3962273925340316,0.34631916552479675,0.046171051953262224,0.3990882237484273,0.3410080586345082,0.27037683893527487,0.311094281029279,1.0,0.3289741096808235,0.16671120122082275,0.3493378984080068,0.3574425845839136,0.3196065577868656,0.15797696131707564,0.8518014198942893,0.23000107111286083,0.25034764533557224,0.3337437809890065,0.10263927742337076,0.08929496942425606,0.30423322909280653,0.10270146171598861,0.31524118153102415,0.14313398287127493,0.059789065401439405,0.26550998234088735,0.07361475234943192,-0.018069165453872885,0.14208692558115046,0.1411948364317726,0.030559789954832786
SPY,0.4422315915416221,0.9862470345226382,0.7130580973076925,0.3803359228342595,0.6920563537955059,0.7940265287329696,0.8730744002288524,0.8684978983431947,0.760042927842924,0.8650517186917086,0.8313188184466996,0.871804884190786,0.7582581501932566,0.7889474751087421,0.7327085745357929,0.8812000418780066,0.5327288362934425,0.8679432579143653,0.7951575861811413,0.7004252207143521,0.9590517578788157,0.3289741096808235,1.0,0.4500155607849658,0.9253693381932488,0.9850757809239518,0.7257652198101064,0.4238754221374425,0.38251906404051766,0.6411425481550047,0.6330291272264786,0.9992449582867208,0.41058837025121636,0.36429773655147213,0.5167465448987353,0.4567369165026348,0.9589505636822129,0.5031439278246879,0.4845320801796607,0.6410279659932913,0.40043765907918993,0.665898624550154,0.3367912150232306,0.4126803315313108,0.5073509952067333
USO,0.27680835398528114,0.46398425875193344,0.4174794324307341,0.2544435034344937,0.4140983047561201,0.4092759318359419,0.47183347711171025,0.3906820117670453,0.402260666348204,0.38817674841750005,0.3874077656893474,0.4843170905436638,0.4211646900809246,0.35091028328434215,0.39263043562465644,0.41457545483982267,0.3280392818305499,0.4471435774445516,0.3651959525788273,0.3623494114071213,0.3830993884382232,0.16671120122082275,0.4500155607849658,1.0,0.45750303883074794,0.4658050866438699,0.6865431784265413,0.2283820415437618,0.2648596846949668,0.37916257874155174,0.29368480425950055,0.4489975089507916,0.2440796398515083,0.19903739908023552,0.275248106348843,0.24958515497715417,0.38559600478909106,0.25897423632147615,0.25746983734149,0.31779718516040584,0.23313592788059442,0.36882463575814134,0.1430508496422058,0.9084269084534181,0.317578023853313
VEA,0.47279163341753727,0.969430751803595,0.7224948336340792,0.4137886698703135,0.7468519092500818,0.8309387893715187,0.9213850238663115,0.9529448273016605,0.8190074303588895,0.9269019590301516,0.8627390663493434,0.9587338974422094,0.8109110957625868,0.8512673915399074,0.8140375991414461,0.9657967217625546,0.5944674653037052,0.9221756704302198,0.825482841027727,0.7546764845128254,0.8630348156774481,0.3493378984080068,0.9253693381932488,0.45750303883074794,1.0,0.9714670352471741,0.7278939406797134,0.4640624986012895,0.42022698401612696,0.7180260638510968,0.7109826124714744,0.9248555486796516,0.4873822922313139,0.40843023719429694,0.5489891855970388,0.5108686135679313,0.8626575999205028,0.5453589382448613,0.50217527372858,0.7246819800156132,0.43993993354400396,0.6708438017341245,0.33030862053009685,0.42310614851571715,0.5642109734687437
VT,0.47082076488250296,0.998309048907376,0.7390010924879156,0.41515319191052347,0.7358077323668151,0.8266444865997212,0.9117657698516553,0.9158645838742807,0.8093893418007625,0.9014630625746,0.869974584153501,0.9216883322660611,0.8011869428956209,0.8372777199023282,0.7927496936979143,0.9295383609847709,0.5684407557446334,0.9215788795151388,0.8308335428964901,0.7570507027047269,0.9376467728105488,0.3574425845839136,0.9850757809239518,0.4658050866438699,0.9714670352471741,1.0,0.7422821441236725,0.45212359094415794,0.41973283596704186,0.6848317648284304,0.6772049894291701,0.9850489873003674,0.4646634522421101,0.39276748802259115,0.5435589549504626,0.4861294488552866,0.9376377579183256,0.5341641346800133,0.5010628508451954,0.6883817444385134,0.4315797821592463,0.676854995935061,0.3421340891323948,0.4290737436847423,0.5401342906144426
XLE,0.35453509438021386,0.7348832442562521,0.5978189995876351,0.41863635643317226,0.6078248256572667,0.6333882683346449,0.723156016727806,0.6547898626900616,0.6062929208911557,0.6481895687081051,0.6116035210701347,0.7498244738342333,0.6432206637589384,0.6005202189337812,0.6028731865775733,0.6804170247882613,0.39910235240258685,0.677375672887075,0.6167352970736381,0.5226284597292646,0.6018262307215,0.3196065577868656,0.7257652198101064,0.6865431784265413,0.7278939406797134,0.7422821441236725,1.0,0.35161798832136165,0.4275228159429085,0.5755662232604143,0.5057932944237893,0.7258223692383705,0.3388652700178127,0.3035021419948476,0.43650700950383964,0.35998840112476294,0.6035970056852078,0.40704860986964525,0.3810139512986803,0.5240442501740495,0.31241746948719645,0.47789062520009956,0.2399978951712836,0.6526993196808425,0.380821799826763
^AXJO,0.4120667056088989,0.449516438008018,0.3305674298859169,0.20513603518079204,0.34889620056099147,0.42920866864974877,0.5256365433229666,0.4110625655486741,0.4408703022488208,0.42189743123620127,0.41634903768013837,0.4519913414958854,0.39425279697494725,0.41372509895408355,0.3557613144617924,0.40946476206927435,0.3196645840729935,0.4365460633733026,0.3959965025828826,0.34803579622750985,0.3752306072752471,0.15797696131707564,0.4238754221374425,0.2283820415437618,0.4640624986012895,0.45212359094415794,0.35161798832136165,1.0,0.20657764137522072,0.5706784078439817,0.521755793697862,0.42612231771748754,0.5580429532358698,0.6013623239003824,0.47897879728485016,0.6043444722810225,0.3709859067802088,0.4845244741838022,0.6725865390830058,0.5277942279429708,0.5455218927949976,0.41526208068663045,0.13157371224466574,0.21056516795253052,0.322088454652528
^BVSP,0.10461390740065446,0.4141725145191916,0.4543119499028582,0.9787815057694115,0.42812857824217154,0.3508124789406171,0.4631924627104973,0.3894596207742267,0.3326317549031697,0.3459561238444784,0.38097723076275836,0.4166352324775697,0.46305239976853296,0.4183761799346918,0.4777197878104197,0.40877613328010265,0.07217629780883356,0.48222550662723396,0.394123734768671,0.34731308560996227,0.3468764626156676,0.8518014198942893,0.38251906404051766,0.2648596846949668,0.42022698401612696,0.41973283596704186,0.4275228159429085,0.20657764137522072,1.0,0.2974561679862371,0.3018230928670319,0.3862495766185135,0.17141860813679013,0.13941671015579532,0.3538086169588621,0.15273201481651252,0.3507432633296352,0.1810058448916876,0.09252136950594897,0.3214709649057454,0.12836486351932144,0.012825634429662633,0.15794200457270466,0.2359576313370266,0.06089671382657949
^FTSE,0.44496951364269727,0.6823225453309594,0.5177350853295978,0.29125660648668544,0.553425418806863,0.5852016337267134,0.6442263556108171,0.686701606231035,0.6291746895659369,0.6431378129062402,0.6006620418469015,0.7501583379199801,0.5863822216036686,0.5836009315826634,0.5722812277980386,0.6899525609305229,0.4181796079413224,0.6541034525956422,0.6052441935513498,0.5402899877738037,0.5611789013869831,0.23000107111286083,0.6411425481550047,0.37916257874155174,0.7180260638510968,0.6848317648284304,0.5755662232604143,0.5706784078439817,0.2974561679862371,1.0,0.7971703267404112,0.6413755871329831,0.5078107220791223,0.49045095647546955,0.512742578805024,0.5364151753933442,0.557496510194007,0.5632671701824399,0.5833929597537172,0.8074520491390007,0.5016497752642677,0.5685523305903966,0.22204054035453732,0.3677364865142047,0.4171165292995153
