ticker_yahoo,ACWI,ARGT,BOVA11.SA,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,VEA,VT,XLE
EWY,0.026476283434920412,0.021548508517474276,0.007735036226610048,0.026440322614238582,0.029598380134337725,0.029435299235209277,0.030499628757774063,0.02582227466238147,0.028365161178658657,0.03795435905111611,0.024635940603136577,0.026109000818431226,0.061772612545163266,0.031760638648205025,0.029202678294474697,0.0316136966597788,0.02443873035086041,0.027129281316823232,0.029342448700912627,0.009476077801604576,0.02509349272344912,0.029226944282189568,0.026890324798027016,0.02198234474237721
EZA,0.018703076092279246,0.019353587888537766,0.016478648410214302,0.025938612697071664,0.021460957498214812,0.024826635497684123,0.024726254409534305,0.02254599814348467,0.017231443195582147,0.022738401054177588,0.020621036865905537,0.023743858759474976,0.031760638648205025,0.04754508137867289,0.023087876072623897,0.024519006722436055,0.02357351827244448,0.023198669161732705,0.015958795502787303,0.015927641870058372,0.016978567476245626,0.021588525507438214,0.01929836795353119,0.02391133411128641
FEZ,0.02642989198520575,0.021204112857509824,0.0012805458391974512,0.01911528839143287,0.02501203380802113,0.026892567996893213,0.03458106553761839,0.022570892376728605,0.02580113261381203,0.02463277849396831,0.026571924721546777,0.026436253152731452,0.029202678294474697,0.023087876072623897,0.034534382226472524,0.02210230713182717,0.024541637287142003,0.022482846478738848,0.02885978171276489,0.0018904989982966875,0.026607205092255174,0.02851798731487961,0.026765145721753945,0.02346872326192971
IEMG,0.0215355206758164,0.015665124354597933,0.00213957591953008,0.0189366107072362,0.023990375827957346,0.02243925522300266,0.023331547925682216,0.025158773367709802,0.02150940151773713,0.027919260090241184,0.01942669296454319,0.017429007558476303,0.0316136966597788,0.024519006722436055,0.02210230713182717,0.02550320704768868,0.023116908669660242,0.03166923238385242,0.023921691374587495,0.0022426313757209822,0.020974615960755814,0.021970723589962843,0.021884867784653747,0.016676052085762227
INDA,0.024855196093129313,0.016837618251922724,-0.001328844008725015,0.017739904566338976,0.02670565133142142,0.02651768804710699,0.025585324801086783,0.020888086151748538,0.024495970392497686,0.02473613491936215,0.022445204137076003,0.022107140497916213,0.02443873035086041,0.02357351827244448,0.024541637287142003,0.023116908669660242,0.04398344111643364,0.017966662895802742,0.02807268085810445,0.0031391356257298624,0.02599975641598354,0.024491931602300496,0.025383207024192132,0.0192603546860433
MCHI,0.02230896267148757,0.008586758519605933,-0.009006461365262546,0.017268564732710122,0.026111451339894662,0.020683326055544557,0.024123168911535542,0.04230131167207594,0.0233523550383033,0.030463312263218984,0.020356395324780837,0.009446662368854091,0.027129281316823232,0.023198669161732705,0.022482846478738848,0.03166923238385242,0.017966662895802742,0.06378315477015266,0.024389812539484308,-0.012768177882789267,0.020495220427950475,0.02261557691742653,0.022528243870856685,0.01180222480223303
QQQ,0.032653757123565594,0.021744083311468695,-0.007217582561623242,0.015878493309580136,0.03146101396609041,0.028814557565015747,0.030408269116263348,0.022291121773583906,0.029903484941216016,0.03211171199498946,0.02371299317968839,0.01924109282426571,0.029342448700912627,0.015958795502787303,0.02885978171276489,0.023921691374587495,0.02807268085810445,0.024389812539484308,0.0458200640961882,-0.00437059811099815,0.036427631421416896,0.028505389154224195,0.032694312800169434,0.019118436212294705
SMAL11.SA,-0.0029941936739084985,0.022602985821563393,0.049610420071329805,0.01665982084995534,0.002183041013666144,0.005749348863857769,0.0034815463290206344,-0.007377508988061268,-0.007921283359850385,-0.0019679133736678236,-0.002812712883564621,0.01201468695462899,0.009476077801604576,0.015927641870058372,0.0018904989982966875,0.0022426313757209822,0.0031391356257298624,-0.012768177882789267,-0.00437059811099815,0.062436287770692746,-0.004372826570069698,-0.0012556722698511542,-0.0020582368728643005,0.009326917087026768
SPY,0.029294403867450913,0.019990762457844903,-0.0058314450201990015,0.014911298681337393,0.027961349302132187,0.02696734500472835,0.027705864060241926,0.02028516345039448,0.026581302676421226,0.02651962342452581,0.023544901213914032,0.01913652286829922,0.02509349272344912,0.016978567476245626,0.026607205092255174,0.020974615960755814,0.02599975641598354,0.020495220427950475,0.036427631421416896,-0.004372826570069698,0.03260327538431198,0.026302525461378654,0.029491781733292328,0.02470604888428752
VEA,0.02573441208749248,0.01862957747093439,-0.00172848214198146,0.01741787471243166,0.026183187110448376,0.026751000072261583,0.029349326580949846,0.0227103474919802,0.02629545894843511,0.0250341404840692,0.02488120338673331,0.022395020119524118,0.029226944282189568,0.021588525507438214,0.02851798731487961,0.021970723589962843,0.024491931602300496,0.02261557691742653,0.028505389154224195,-0.0012556722698511542,0.026302525461378654,0.026942219515805492,0.026092080566291365,0.022241132686181563
VT,0.027467254232721713,0.0198828930871736,-0.0031596841560720883,0.016112242454597893,0.027223853596675923,0.026741328792831472,0.027860937398584147,0.02157164263598667,0.025937208909387617,0.026187934622571872,0.023542967720171587,0.020205371219125315,0.026890324798027016,0.01929836795353119,0.026765145721753945,0.021884867784653747,0.025383207024192132,0.022528243870856685,0.032694312800169434,-0.0020582368728643005,0.029491781733292328,0.026092080566291365,0.027786782202819875,0.023630280078501785
XLE,0.022629737444410894,0.02579316293230787,0.010196537575748843,0.024959908575720488,0.018472372294802468,0.025780741172842864,0.023493051487391156,0.015471952329035563,0.0184966497039232,0.0157480343544514,0.027177284537031617,0.019972217244686487,0.02198234474237721,0.02391133411128641,0.02346872326192971,0.016676052085762227,0.0192603546860433,0.01180222480223303,0.019118436212294705,0.009326917087026768,0.02470604888428752,0.022241132686181563,0.023630280078501785,0.07762974942298828
