ticker_yahoo,000001.SS,ACWI,ARGT,BOVA11.SA,BRL=X,BTC-USD,BZ=F,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,GC=F,GLD,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,USO,VEA,VT,XLE,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^HSI,^KS11,^MXX,^N225,^NDX,^NSEI,^NZ50,^STOXX50E,^TWII
EWG,0.4699645483935637,0.8623470332021002,0.3943697483205512,0.05114807319273872,0.3726769975917421,0.2635606437774615,0.18638106158063775,0.46806020403095566,0.6912380691835301,0.781288426149948,1.0,0.6014743197651262,0.7913883972223859,0.6626701362104087,0.8571787094122583,0.6404889632583282,0.6367666158802917,0.5884224767821981,0.9655977454422062,0.2949781402323076,0.28902551058673626,0.7581058927004007,0.6330383932808664,0.49563854984425537,0.7371359154359306,0.07229984392118281,0.7962048170087993,0.11897271859360976,0.9278230841672473,0.8672819617796991,0.43753122872961114,0.7437045391589422,0.0467221422602975,0.8479138763376532,0.9755204477994721,0.7972607864656805,0.5227754159513409,0.6497966806163877,0.6289266186062753,0.759144250527351,0.739147915056871,0.6060367993901932,0.6913277020044897,0.9350878348046461,0.6371930928065435
EWH,0.697177286926841,0.6345309493923221,0.17942687214775807,-0.13566822992244038,0.4318503871595915,0.09243171506434081,0.08144342415263882,0.38047007437797314,0.6197654078450976,0.6048824692636816,0.6014743197651262,1.0,0.603769568450342,0.6298077362529083,0.6591037075722939,0.3055589522989278,0.5133170072531509,0.5108646020568435,0.60008397076536,0.3644942632268421,0.364860714830118,0.7783612495513618,0.49208847075499523,0.8275418732017702,0.5145092892386725,-0.14587482647634215,0.5550563011978126,0.05516948565606803,0.683590842590482,0.6393714363725034,0.2743596046946291,0.5606519288485639,-0.14156330775353806,0.6374994438324341,0.5559306205528313,0.55501110501141,0.8984503862591031,0.5014020546365519,0.3028867899931719,0.5020157640164985,0.5171508322002781,0.4875197193000885,0.6149676703159942,0.5519018905135813,0.5941016763310972
EWJ,0.5774424606797378,0.8865619026460618,0.29545551081267113,-0.20001476855912564,0.6521389946719552,0.20423079141329725,0.13207611015015502,0.3852363313918194,0.7188779379058388,0.7426850808502332,0.7913883972223859,0.603769568450342,1.0,0.7181411665811469,0.8021195593323479,0.5018349150792188,0.6489930210145335,0.44938814431286217,0.7895246263927663,0.4493179672402848,0.43465291550940516,0.7659204827517435,0.6642060115651337,0.5258119384084436,0.7944136781334101,-0.18027261887398852,0.8371405905798838,0.09391105651652977,0.9109967458032394,0.884823945348346,0.3775128467411239,0.6911936152814724,-0.20245803529548081,0.7994245154781268,0.7809952084761622,0.8379885468823798,0.5388295731065603,0.6554507562611868,0.4890349019791962,0.9219420894416755,0.7946440603168506,0.6172451288047464,0.7281669838892151,0.7804947360556413,0.6823312603982813
EWT,0.5424946386721711,0.775513169782235,0.24934176806420613,-0.06449304835130998,0.4320213769837462,0.15587776368452355,0.10106666835301902,0.44703286137518455,0.6793287062639546,0.6817642391418265,0.6626701362104087,0.6298077362529083,0.7181411665811469,1.0,0.6455999941330743,0.45773753760740854,0.7536142196530577,0.5146269575268073,0.65414339880455,0.3913467492933245,0.3966210757829096,0.862763797769226,0.5820665556143679,0.5952638809900376,0.7403226234838031,-0.03886626859502017,0.724806607856552,0.05110094434448301,0.7526644558367951,0.7752959706239397,0.27893156831248583,0.6489415192467023,-0.06844827185617952,0.6390059795937733,0.6406155833677859,0.7250788133240129,0.5978848738213219,0.7551076662816804,0.4493916931903301,0.7064559850688453,0.7421821166018788,0.546662673582044,0.6719611911003006,0.6434678173594228,0.9482404193941312
EWU,0.5037954219897542,0.8689556383638548,0.3561517733147153,-0.06379141982123383,0.4927586895499058,0.21128457242939802,0.3355307781241187,0.4620299662758328,0.710340826194798,0.8033544656687488,0.8571787094122583,0.6591037075722939,0.8021195593323479,0.6455999941330743,1.0,0.5952276980547575,0.6131194280177745,0.5849673348810984,0.8844455107635014,0.3341019797203441,0.32638174001758946,0.7524460940966743,0.6619921991696825,0.49856500625363626,0.685223808586315,-0.06962749645943743,0.8065664827264777,0.2808153576034415,0.9376237735203774,0.8736067739068586,0.6033452297106465,0.7629282826469481,-0.06614926935750276,0.9824481000505055,0.8419849863400991,0.807036649324457,0.5772392389768525,0.6163607363692889,0.5897763637907261,0.7334922713498365,0.6871840034086404,0.6462349281075643,0.7172658696825761,0.8606891715421322,0.6158010574980498
EWW,0.23415737962826322,0.5638895265104321,0.3249641726322246,0.22536392641986813,0.1730301211748155,0.14806074084493556,0.2169508706157032,0.3929274528423253,0.4751892265434284,0.6101919594462348,0.6404889632583282,0.3055589522989278,0.5018349150792188,0.45773753760740854,0.5952276980547575,1.0,0.5001018932856924,0.5183996912068766,0.6772363927021716,0.19504368333683175,0.20581298461181857,0.5195669187332775,0.5018272041317905,0.1780703560634927,0.4279254539742889,0.2289075696090029,0.5045435331474158,0.19819461533698302,0.6495326749847864,0.5770506530255095,0.3412545265181933,0.5765447677182586,0.22240997840735918,0.5828500038350066,0.6518627971243816,0.503979014585463,0.19850285406665535,0.49556750129855837,0.9774328981741958,0.4892176505311816,0.42916135737098376,0.46534219500165,0.4862484398351845,0.6780486008331232,0.4128601376015689
EWY,0.418227089763554,0.6455305547494156,0.290192424385301,0.1423654663387036,0.19084306686924232,0.12150594095721949,0.0473138655845681,0.47978817901312093,0.5968741754609321,0.6358469433805727,0.6367666158802917,0.5133170072531509,0.6489930210145335,0.7536142196530577,0.6131194280177745,0.5001018932856924,1.0,0.5860550930834281,0.6322645811932751,0.32395306639878585,0.3276235785424919,0.7964892136571212,0.46885230217758983,0.4322025315214924,0.5515317558854985,0.15258508933434356,0.5591553872125015,0.034223839294155255,0.7164217163752221,0.6490511664727119,0.31744020992065947,0.6157853043215197,0.1423097040420625,0.6174280308101845,0.6223010142782975,0.5606799773323234,0.45725497536042725,0.9656956833415958,0.5031379225541789,0.7213880552638463,0.5539064570616155,0.46221744992292146,0.5886498847480853,0.6270369113773752,0.7540946396152228
EZA,0.3006342108678035,0.5197781387792682,0.2970814473846662,0.34570771995961136,0.05340074706877797,0.1656722916787719,0.13641737507076934,0.5365061755552273,0.49329774138749205,0.6112898544544055,0.5884224767821981,0.5108646020568435,0.44938814431286217,0.5146269575268073,0.5849673348810984,0.5183996912068766,0.5860550930834281,1.0,0.5697775577288261,0.30196672205967745,0.30208591372188964,0.7041297221764936,0.5154980239429722,0.42126684085261357,0.34191603292568407,0.29233455108443046,0.4312386038017551,0.09250750993874828,0.6031891186947037,0.5309439257134319,0.39358353146642483,0.5812673830816709,0.3435056075117331,0.5635815644880752,0.5579263084005138,0.43262371940565947,0.44924755138097466,0.5651966227655749,0.5069918275272264,0.4258919656693147,0.34498227845931645,0.5157143546980699,0.4748009249274145,0.5444757265382074,0.4575329379728551
FEZ,0.45592576692239717,0.8618413139329683,0.38191006226662705,0.03152169563505902,0.3816220861929047,0.24309604154550046,0.2084907171057638,0.4639121929939405,0.6745839303148916,0.7769419067284813,0.9655977454422062,0.60008397076536,0.7895246263927663,0.65414339880455,0.8844455107635014,0.6772363927021716,0.6322645811932751,0.5697775577288261,1.0,0.28023204415856007,0.27786444569352853,0.7447566082914008,0.6296991185629965,0.4790407418510889,0.7255032294566959,0.040712902863337515,0.7929445077568149,0.17601708672761784,0.9349240691500872,0.8640216761513698,0.45326222463164484,0.7250341881445918,0.02787780504271071,0.8747345646782756,0.9547290094992442,0.7941330845561234,0.5251609429324676,0.6405250215197209,0.6657578967506903,0.7625787082625937,0.7274091235288563,0.6060613842219654,0.6723832067703658,0.9769084623569744,0.6253701247710672
GC=F,0.3420003609459509,0.3950658686232415,0.0003715829724871491,-0.3582236817519388,0.6272414056821719,0.05795396879332678,-0.15452663054510418,0.13660346387653177,0.3896144608146431,0.29770667419383645,0.2949781402323076,0.3644942632268421,0.4493179672402848,0.3913467492933245,0.3341019797203441,0.19504368333683175,0.32395306639878585,0.30196672205967745,0.28023204415856007,1.0,0.993043834149698,0.4196103090983586,0.3644024329543549,0.342772474861115,0.33982455240926257,-0.3055092981868865,0.36629110768695705,-0.20332222445287032,0.40693523861589387,0.3835159368196554,-0.05645585318695484,0.2822924622458997,-0.35725432777645066,0.3464020312186609,0.298170559883006,0.3667890047491522,0.3449945938474901,0.34105074734382046,0.19450222030384565,0.36164031546370207,0.3403552711794864,0.3072917170990287,0.3875438416275084,0.2907562946873269,0.3916265748124259
