ticker_1,ticker_2,correlacao,frequencia,universo,nome_ativo_1,classe_1,subclasse_1,regiao_1,pais_1,tipo_ativo_1,grupo_universo_1,nome_ativo_2,classe_2,subclasse_2,regiao_2,pais_2,tipo_ativo_2,grupo_universo_2
ACWI,ARGT,0.7367387093887393,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs
ACWI,BOVA11.SA,0.40950454130873,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares Ibovespa ETF,ETF,Brasil Broad Market,Brasil,Brasil,etf,etfs
ACWI,BRL=X,0.6787313471820935,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,USDBRL,FX,Cambio,Brasil,Brasil,cambio,alternativos
ACWI,BTC-USD,0.3401913681411611,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Bitcoin USD,Crypto,Bitcoin,Global,Global,cripto,alternativos
ACWI,BZ=F,0.4268956368426403,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Brent Crude Oil,Commodity,Petroleo,Global,Global,commodity,alternativos
ACWI,ECH,0.7341110044208574,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI Chile ETF,ETF,Chile,America Latina,Chile,etf,etfs
ACWI,ENZL,0.8220628365896292,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI New Zealand ETF,ETF,Nova Zelandia,Oceania,Nova Zelandia,etf,etfs
ACWI,EWA,0.9072060879142397,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI Australia ETF,ETF,Australia,Oceania,Australia,etf,etfs
ACWI,EWG,0.9140177415513511,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI Germany ETF,ETF,Alemanha,Europa,Alemanha,etf,etfs
ACWI,EWH,0.8092304801508758,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI Hong Kong ETF,ETF,Hong Kong,Asia,Hong Kong,etf,etfs
ACWI,EWJ,0.9010046940518168,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI Japan ETF,ETF,Japao,Asia,Japao,etf,etfs
