carteira,tipo,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao
etfs_com_ouro,min_vol,25,8,0.3440789469274394,0.0,0.04000000000000001,2.4588610669824717e-18,0.3440789469274394,0.8051691846791754,0.9482582843465487,0.2602243320551976,3.84283818543104,0.8520190908189125,alta
etfs_com_ouro_btc,max_sharpe,26,6,0.39512302278819256,0.0,0.03846153846153846,6.345176426799778e-16,0.39512302278819256,0.8902956243634306,0.9875363416372518,0.2941621135332206,3.399486045258738,0.880408737858047,alta
etfs_com_ouro_btc,min_vol,26,8,0.3440789723104754,0.0,0.038461538461538464,4.2789389444845215e-18,0.3440789723104754,0.8051693009130495,0.9482583572632558,0.2602243628451515,3.842837730743365,0.8577106875338649,alta
etfs_com_ouro_petroleo,max_sharpe,26,5,0.38451801097342436,0.0,0.038461538461538464,1.478785025989038e-16,0.38451801097342436,0.9144052073858837,0.9999999999999962,0.2949615951435153,3.3902718742534743,0.8812549913148997,alta
etfs_com_ouro_petroleo,min_vol,26,7,0.3632151047536003,0.0,0.038461538461538464,8.044213429434897e-18,0.3632151047536003,0.7900094773251505,0.9318809975733539,0.26172977131680264,3.8207346262859074,0.8561131723765414,alta
etfs_com_petroleo,max_sharpe,25,5,0.42921275303992007,0.0,0.04,2.2806791507977866e-18,0.42921275303992007,0.9091331586802367,0.9999999999999993,0.3237470653802894,3.0888310873964224,0.8856276585603609,alta
etfs_com_petroleo,min_vol,25,7,0.3609634677324018,0.0,0.04000000000000001,8.935191897174908e-18,0.3609634677324018,0.7913823621873184,0.9472639706555472,0.24899464627050313,4.016150607967766,0.8503151952559613,media
etfs_com_tudo,max_sharpe,27,6,0.39757580626967415,0.0,0.037037037037037035,2.746472147892915e-16,0.39757580626967415,0.8659885640739855,0.998500906266504,0.2865021762759022,3.4903748830061168,0.881319979075617,alta
etfs_com_tudo,min_vol,27,8,0.36349229468751937,0.0,0.037037037037037035,3.736574156310252e-18,0.36349229468751937,0.791090691836934,0.9293878076185804,0.2615953353283714,3.8226981331480365,0.8608946540167146,alta
etfs_desenvolvidos_emergentes,max_sharpe,2,2,0.6815772555963729,0.31842274440362717,0.5,0.5,0.6815772555963729,1.0,1.0,0.5659405994998212,1.7669698920413217,0.18157725559637306,alta
etfs_desenvolvidos_emergentes,min_vol,2,2,0.5846082134648085,0.4153917865351916,0.5,0.5,0.5846082134648085,1.0,1.0,0.5143170995714134,1.9443257881826446,0.08460821346480873,alta
etfs_europa,max_sharpe,3,2,0.5174883972072294,3.879897000378536e-16,0.3333333333333333,0.4825116027927703,0.5174883972072294,1.0,1.0,0.5006116880737553,1.99755623734592,0.34499226480481937,alta
etfs_europa,min_vol,3,1,1.0,0.0,0.3333333333333333,8.833176100137296e-20,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,alta
etfs_exterior,max_sharpe,22,4,0.4404069045474687,0.0,0.045454545454545456,4.3563309623206747e-17,0.4404069045474687,0.936572085278403,0.9999999999999996,0.32185191331899543,3.107018969338471,0.8713840774549864,alta
etfs_exterior,min_vol,22,8,0.3372579023543863,0.0,0.045454545454545456,1.293055596054077e-17,0.3372579023543863,0.7282448658281025,0.9108861142564806,0.22535004664162483,4.437540683496304,0.8070448756729014,media
etfs_global,max_sharpe,3,1,1.0,0.0,0.3333333333333333,3.7527615210896584e-17,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,alta
etfs_global,min_vol,3,2,0.5536062685087435,9.857343106898057e-17,0.3333333333333333,0.4463937314912565,0.5536062685087435,1.0,1.0,0.505747264046863,1.977272189271476,0.3690708456724958,alta
etfs_latam,max_sharpe,3,3,0.4916553413491064,0.13060386899610876,0.3333333333333333,0.3777407896547848,0.4916553413491064,0.9999999999999999,0.9999999999999999,0.40147044944287946,2.4908433519520554,0.24070098156866515,alta
etfs_latam,min_vol,3,3,0.49225796762268453,0.12142932744842419,0.3333333333333333,0.38631270492889136,0.49225796762268453,1.0,1.0,0.4063004942420692,2.4612325462843554,0.2472190934495071,alta
etfs_oceania,max_sharpe,2,1,1.0,3.144186300207963e-17,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,alta
etfs_oceania,min_vol,2,2,0.6990157669653848,0.30098423303461525,0.5,0.5,0.6990157669653848,1.0,1.0,0.5792145510016407,1.7264759634762137,0.19901576696538492,alta
etfs_todos,max_sharpe,24,4,0.44140651207326953,0.0,0.041666666666666664,9.365637773000636e-17,0.44140651207326953,0.9371761384388408,0.9999999999999987,0.3429731828652951,2.915679854750499,0.8892546292974832,alta
etfs_todos,min_vol,24,6,0.3694108240072126,0.0,0.041666666666666664,2.2697116233410846e-17,0.3694108240072126,0.7736519641707147,0.97038309953151,0.24552676644360039,4.072875696954648,0.8435567423333457,media
