ticker_yahoo,000001.SS,ACWI,ARGT,BOVA11.SA,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,GLD,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,USO,VEA,VT,XLE,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^HSI,^KS11,^MXX,^N225,^NDX,^NSEI,^NZ50,^STOXX50E,^TWII
EWT,0.46529056536645164,0.869143808655284,0.6576663383717452,0.37673375589331975,0.6852637024214473,0.7282606741158479,0.8079347083473317,0.8008563319396959,0.7709714380591512,0.8117064945767888,1.0,0.7967173732703768,0.7252582246113256,0.8616492098868714,0.769200844579815,0.8135269063072561,0.5404046017490077,0.9111694181118773,0.7581131070104326,0.743600970777025,0.8186500779779897,0.3188324504550296,0.8313188112569029,0.3874466048589946,0.8627358400442627,0.8699703076467845,0.6116405611703878,0.41634973725559776,0.3809565459958972,0.6006352126371625,0.5949960069099018,0.8303189428001863,0.5006742732826278,0.4308740897122582,0.49077093540919564,0.4669781441268728,0.8177171228921774,0.5007921160099438,0.449265550184252,0.6110029826294454,0.5630732771685523
EWU,0.45344153184524355,0.9189641593496258,0.6834835131016594,0.40769915167018034,0.721569600341125,0.8031859197589348,0.8908586263468312,0.9110891906937583,0.7782382035296098,0.8444272102078747,0.7967173732703768,1.0,0.7860234508246604,0.7827572498752855,0.7870152561708268,0.9276262662323127,0.5627572534811849,0.8685747451648657,0.7940511331795772,0.7039673714714582,0.7866196972316696,0.334957667951767,0.8718563382155596,0.4842801354214998,0.9587375053218906,0.9217147697105026,0.749780625127181,0.45199662456586365,0.41664514105367967,0.7501824796516764,0.6917146407364841,0.8718548058494857,0.4637156911375905,0.38028573810013183,0.5305283799174484,0.46840308336696096,0.786140472039365,0.5281503938080792,0.4876940195634983,0.7085987188789186,0.4198203283378812
EWW,0.3885396697746698,0.799822642128121,0.6650986724271564,0.453357878580788,0.7034803865532557,0.7113261854421935,0.7734754186326954,0.7573907199453455,0.6931058591022937,0.7290679526940923,0.7252582246113256,0.7860234508246604,1.0,0.7266174589612664,0.765190523846275,0.7774220777977338,0.5057387031251404,0.8129573779916636,0.7244038511671107,0.6354952969481069,0.6951009349308551,0.40005316412619835,0.758251220751721,0.42120719257462186,0.8108887412513412,0.8011722067945661,0.6432671855875919,0.3942489878877135,0.4630049698344206,0.586332330713944,0.5734331999377178,0.7586907346947913,0.4008373229483074,0.3385568541619395,0.7028908950182213,0.40703605750696736,0.6937784089710933,0.45583478219256784,0.42912875384095905,0.5914242675336465,0.36687645751691994
EWY,0.42459809832990003,0.8359570596196557,0.6445313292999914,0.41192017044441404,0.6888275705865651,0.718343454551454,0.8002824854794434,0.7869256825498405,0.7515937527518711,0.7806637393008632,0.8616492098868714,0.7827572498752855,0.7266174589612664,1.0,0.7744766818467962,0.7995595556927828,0.5227557415292295,0.8975211437354726,0.740726194407214,0.7211562046363048,0.7628600179823528,0.3509295964708935,0.7888753202326264,0.35081890321862325,0.8512220528272243,0.8372039765827,0.6003499820903803,0.4136812460552151,0.4184284193688646,0.5836266735040879,0.5761045825995467,0.7892600346470844,0.4990065828788723,0.5204935500071761,0.48338418379499987,0.4551607275430194,0.762193848361171,0.4734987218345302,0.42464444134957346,0.5899588737258631,0.45029810503916323
EZA,0.3863544945896388,0.7908480906773254,0.6414432835672915,0.46750678498214737,0.6958099820352643,0.6896894597179231,0.7832105791093987,0.7708527753796723,0.7243290842641841,0.7169634031651924,0.769200844579815,0.7870152561708268,0.765190523846275,0.7744766818467962,1.0,0.783902677676256,0.5329391702959982,0.8674446065781991,0.7230426736554247,0.7266648059389126,0.6945291258487047,0.3962723971385631,0.7327456029140963,0.3925826616551507,0.8140408602641857,0.7927670276419921,0.6028096746890577,0.3557621308098479,0.47773992014791866,0.5723133954913627,0.5582402383880053,0.7327017696470354,0.44856455236296444,0.3329751520789784,0.5072017652602144,0.3642037275371525,0.6944032623341416,0.42724555483695426,0.3648815082887325,0.5737359021003232,0.3591713345919774
FEZ,0.4165037155964978,0.9280726972829153,0.6877486945065996,0.4019049372424461,0.7116674066444938,0.7736604303935632,0.8643576713671368,0.9788625493359161,0.7661072373751535,0.8522764430191548,0.8135269063072561,0.9276262662323127,0.7774220777977338,0.7995595556927828,0.783902677676256,1.0,0.5168706749977552,0.8725221103584314,0.7790740922478758,0.7147465925376566,0.8241414497637968,0.3463785977073265,0.8812195540009544,0.41452618380329276,0.9657947091359825,0.9295417965317816,0.6803419242193283,0.40945990778683833,0.40880556557482306,0.6899815306574101,0.7333189398431862,0.880826630176299,0.44409611601631027,0.35353467887072,0.5241717196850091,0.4447304040080937,0.8243243077888445,0.49603729292434906,0.4425952781476376,0.7523732767712085,0.38899039586995104
GLD,0.41911287825951055,0.5685846526513267,0.43039663201142153,0.08040845556475723,0.488641660526826,0.613356838988422,0.5429845250502282,0.5243629439845048,0.5325779109490444,0.5675904043220866,0.5404046017490077,0.5627572534811849,0.5057387031251404,0.5227557415292295,0.5329391702959982,0.5168706749977552,1.0,0.5750950156237125,0.511928268815296,0.46393226969885926,0.4898957722481611,0.04622492041088816,0.5328318212066656,0.3279608916947598,0.5944819114409952,0.5685036167693558,0.39902634356935185,0.31968398860483477,0.07218602547724695,0.41823723112540173,0.3498942062619735,0.5313755805594921,0.3523849587391099,0.32235379794212,0.3432980302091411,0.3606189528722077,0.48732829584533943,0.3992697445633801,0.4593892949142737,0.3465725555591785,0.3536911397980116
IEMG,0.5234309782234244,0.9212859825788029,0.7223261929053163,0.4746156440757807,0.7582717000311132,0.7903831012819538,0.8688421569257047,0.8567863156084637,0.869217826866064,0.8433974829837675,0.9111694181118773,0.8685747451648657,0.8129573779916636,0.8975211437354726,0.8674446065781991,0.8725221103584314,0.5750950156237125,1.0,0.846139617153935,0.8883044443402954,0.8384433137984018,0.39909625628925177,0.8679538421676027,0.4471428867190988,0.9221775525853324,0.9215806415082411,0.6773592757145945,0.4365452210748148,0.48223123504396354,0.6541077492247221,0.6370951129142516,0.8683919440552629,0.5784104252015875,0.43398852761591084,0.5422147396083395,0.4749854158557324,0.8380813471013119,0.5450676833139774,0.4733945131073533,0.6554403223838482,0.4778658928180117
INDA,0.40916495006257836,0.8291738979508162,0.6123810279656176,0.38663665586184776,0.6535316476275521,0.7226440760073889,0.7787170490370898,0.7691520166900918,0.7125655772937458,0.7578238830821006,0.7581131070104326,0.7940511331795772,0.7244038511671107,0.740726194407214,0.7230426736554247,0.7790740922478758,0.511928268815296,0.846139617153935,1.0,0.648441359582061,0.7359737035417938,0.3409613472738809,0.7951598488907569,0.3652267598134172,0.8254740687343113,0.830828369515774,0.6167662341955041,0.39599590572815363,0.3940986927571863,0.6052151964406769,0.5850272655104999,0.7973765912380877,0.4061735035633867,0.36137996864379923,0.46946035298906635,0.42913163784764274,0.736002276902356,0.6996594314370176,0.4457962335071324,0.5938981717599088,0.4036052134882508
MCHI,0.560385596518117,0.7589065391763129,0.5903709621183809,0.3435427571525733,0.6151100029956175,0.6391205860807594,0.7005140313746937,0.6995936035953966,0.861381972131568,0.6884882558421999,0.743600970777025,0.7039673714714582,0.6354952969481069,0.7211562046363048,0.7266648059389126,0.7147465925376566,0.46393226969885926,0.8883044443402954,0.648441359582061,1.0,0.7039159989729165,0.2703857028188705,0.7004337754962653,0.36235164605908965,0.7546797876043442,0.757052891245136,0.522617899746392,0.34803532923007274,0.3473190850605032,0.540293070142385,0.5336443478535955,0.7001056562554008,0.6738938518059425,0.34983153461419036,0.4349237840886515,0.39070521414243925,0.7032032334395315,0.42334347237208786,0.3907438806146693,0.5543998303405283,0.3910481219301676
QQQ,0.4139538705820897,0.9419875127562017,0.6894007418657387,0.34606989807231536,0.637319780737536,0.7337633393483628,0.8096094192230605,0.8160056700913841,0.716707803664776,0.8159208302171184,0.8186500779779897,0.7866196972316696,0.6951009349308551,0.7628600179823528,0.6945291258487047,0.8241414497637968,0.4898957722481611,0.8384433137984018,0.7359737035417938,0.7039159989729165,1.0,0.31108713326870047,0.9590625386497019,0.38321896449151355,0.8631122091651279,0.9376813724693874,0.6019373068852012,0.37525352928257777,0.3469068784654839,0.5611893582693132,0.5812194317240788,0.9591066514406358,0.38944862015078313,0.3313864007773261,0.47112111582500144,0.4118029795214642,0.9991981918951396,0.44498361664308267,0.424591470811631,0.5868804082361891,0.37323696270146656
SMAL11.SA,0.055064773300693516,0.3525266836772713,0.41653345751826876,0.8469781670849741,0.3867859128217937,0.30788269950327796,0.3829401076301416,0.3294219680643054,0.2479905564857502,0.2886598512381027,0.3188324504550296,0.334957667951767,0.40005316412619835,0.3509295964708935,0.3962723971385631,0.3463785977073265,0.04622492041088816,0.39909625628925177,0.3409613472738809,0.2703857028188705,0.31108713326870047,1.0,0.3289468049819936,0.1666941071417836,0.34936689755849254,0.35743173070594975,0.3195417917270795,0.15797150534518095,0.8518123936162459,0.23005245258244122,0.25032376745867435,0.33371535733484975,0.10263604238099958,0.08929465057754173,0.3041695204851227,0.10270056183704689,0.31523614938487693,0.14256735944134014,0.05957554114249682,0.26559881310713834,0.07361695438969795
SPY,0.44223790505394117,0.9862487830049315,0.7130745831971456,0.38034990017612513,0.6920670525798187,0.7940321291616211,0.873086869164599,0.8685057685986411,0.7600673192002417,0.8650912659192956,0.8313188112569029,0.8718563382155596,0.758251220751721,0.7888753202326264,0.7327456029140963,0.8812195540009544,0.5328318212066656,0.8679538421676027,0.7951598488907569,0.7004337754962653,0.9590625386497019,0.3289468049819936,1.0,0.45007952416142544,0.9253900943091167,0.9850800909426952,0.7258225768069634,0.42388096830043726,0.38251755844737884,0.6411283128701195,0.6330431326734484,0.9992449311917059,0.41059423494823183,0.3643037947796974,0.516726638504074,0.45674411645093893,0.9589614706435263,0.502948285491243,0.4845400525677554,0.6409712054246595,0.40044460303882273
USO,0.27681534292044563,0.46402127248093233,0.417467263248479,0.2543989757664684,0.41410914292654283,0.40928854456229646,0.4718479794551815,0.3907027776506331,0.4021802130423486,0.38814453175541624,0.3874466048589946,0.4842801354214998,0.42120719257462186,0.35081890321862325,0.3925826616551507,0.41452618380329276,0.3279608916947598,0.4471428867190988,0.3652267598134172,0.36235164605908965,0.38321896449151355,0.1666941071417836,0.45007952416142544,1.0,0.4574801184653096,0.4658320070277967,0.6865238440654744,0.22838638497600322,0.2648318438811308,0.3791640991010895,0.2936870336097099,0.44906299715991493,0.24408546334156875,0.1990398340941335,0.27537389880137736,0.24958913721397488,0.3857161561393798,0.25868926035923107,0.2573914260681291,0.31781574230085974,0.233138158706996
VEA,0.4727897837610102,0.9694411309302773,0.7224967679723588,0.41379783605795767,0.7468461931362306,0.8308985343540466,0.9213757697781306,0.9529341912874439,0.8190053439772578,0.926902438403719,0.8627358400442627,0.9587375053218906,0.8108887412513412,0.8512220528272243,0.8140408602641857,0.9657947091359825,0.5944819114409952,0.9221775525853324,0.8254740687343113,0.7546797876043442,0.8631122091651279,0.34936689755849254,0.9253900943091167,0.4574801184653096,1.0,0.9714730524170023,0.727853788238421,0.46406076509751426,0.42024133450896684,0.7180402069008558,0.7109720439866357,0.9248767165935703,0.4873810633385306,0.40842921066146326,0.5490307878515199,0.5108672546241704,0.8627364433585092,0.5447089472868902,0.5019869649248696,0.7247103188562524,0.4399386567848609
VT,0.4708217581189647,0.9983094729625286,0.7390067269788504,0.415160294950668,0.7358087387080678,0.8266296678546637,0.9117657108180721,0.9158615477853963,0.8093947562762173,0.9014809288704146,0.8699703076467845,0.9217147697105026,0.8011722067945661,0.8372039765827,0.7927670276419921,0.9295417965317816,0.5685036167693558,0.9215806415082411,0.830828369515774,0.757052891245136,0.9376813724693874,0.35743173070594975,0.9850800909426952,0.4658320070277967,0.9714730524170023,1.0,0.7422975891805507,0.4521241475925055,0.4197326343301016,0.6848235046573888,0.6772061444296307,0.9850535197373034,0.4646642481581746,0.392768765106029,0.5435650606318214,0.4861307933076316,0.9376730262936547,0.5337855456531292,0.50099401494269,0.6883522685533727,0.43158148335760915
XLE,0.35453652422049653,0.7349092049157073,0.5977926170522088,0.418567199342024,0.6078303242024932,0.6334097486005137,0.7231666178897422,0.6548101612625908,0.6061790253546983,0.648150505098154,0.6116405611703878,0.749780625127181,0.6432671855875919,0.6003499820903803,0.6028096746890577,0.6803419242193283,0.39902634356935185,0.6773592757145945,0.6167662341955041,0.522617899746392,0.6019373068852012,0.3195417917270795,0.7258225768069634,0.6865238440654744,0.727853788238421,0.7422975891805507,1.0,0.35161818951971224,0.42746438995820063,0.5755359836118386,0.505796319255769,0.7258813718959529,0.3388663286803679,0.3035007673824944,0.43663775450773457,0.35998760164235133,0.6037083524480794,0.4068296969084808,0.3809916893779006,0.5240056966929977,0.31241454976423233
^AXJO,0.4120667056088989,0.4495187172520419,0.330567154385274,0.20513343261889463,0.34889578735151855,0.4292010655688792,0.5256358018874683,0.41106188567730423,0.44086151465479295,0.42189988962485414,0.41634973725559776,0.45199662456586365,0.3942489878877135,0.4136812460552151,0.3557621308098479,0.40945990778683833,0.31968398860483477,0.4365452210748148,0.39599590572815363,0.34803532923007274,0.37525352928257777,0.15797150534518095,0.42388096830043726,0.22838638497600322,0.46406076509751426,0.4521241475925055,0.35161818951971224,1.0,0.20657394234956708,0.5706693128222643,0.5217552251944659,0.4261291543447439,0.5580429532358698,0.6013623239003824,0.47900510952819497,0.6043444722810225,0.37100927949715956,0.4841677395591357,0.6724890793512818,0.5277739646387254,0.5455218927949976
^BVSP,0.10461244517009222,0.41417249446767374,0.45431854127566007,0.978785097119819,0.42811491136506713,0.3507573340349445,0.46317267920768235,0.38943717036425585,0.33267912913260655,0.3459641536403348,0.3809565459958972,0.41664514105367967,0.4630049698344206,0.4184284193688646,0.47773992014791866,0.40880556557482306,0.07218602547724695,0.48223123504396354,0.3940986927571863,0.3473190850605032,0.3469068784654839,0.8518123936162459,0.38251755844737884,0.2648318438811308,0.42024133450896684,0.4197326343301016,0.42746438995820063,0.20657394234956708,1.0,0.297492840503897,0.3018059163001889,0.38624752869142776,0.17141534083257276,0.1394153498378323,0.35380163758097544,0.15273039683023681,0.3507755569664985,0.18050032487193526,0.09234060264808806,0.321540846373603,0.12836457573082946
^FTSE,0.4449622467552442,0.6823129669627207,0.5177461453970277,0.29129637735146285,0.5534133116517753,0.5851491108859709,0.644208077591833,0.6866755982313064,0.6292220305413916,0.6431549257013817,0.6006352126371625,0.7501824796516764,0.586332330713944,0.5836266735040879,0.5723133954913627,0.6899815306574101,0.41823723112540173,0.6541077492247221,0.6052151964406769,0.540293070142385,0.5611893582693132,0.23005245258244122,0.6411283128701195,0.3791640991010895,0.7180402069008558,0.6848235046573888,0.5755359836118386,0.5706693128222643,0.297492840503897,1.0,0.7971495466576064,0.6413609150855744,0.5078022258921145,0.49044413908829365,0.5127172675099689,0.5364075346440639,0.5575084491558578,0.5626074959010814,0.5831909703314997,0.8074631833432626,0.5016436946653786
^GDAXI,0.3816120588471793,0.6735425209958777,0.5092705365266047,0.295146356695173,0.5460258062279605,0.5478771439455752,0.6160347170930597,0.7573426129289482,0.587691095338105,0.6398522011108269,0.5949960069099018,0.6917146407364841,0.5734331999377178,0.5761045825995467,0.5582402383880053,0.7333189398431862,0.3498942062619735,0.6370951129142516,0.5850272655104999,0.5336443478535955,0.5812194317240788,0.25032376745867435,0.6330431326734484,0.2936870336097099,0.7109720439866357,0.6772061444296307,0.505796319255769,0.5217552251944659,0.3018059163001889,0.7971495466576064,1.0,0.6344327357988863,0.4956398888055558,0.4534742179228965,0.5079279661300068,0.49765077587481277,0.5787941583703421,0.5252387254688046,0.4999192785039307,0.9688832747057414,0.4596342138134385
^GSPC,0.44054880355067244,0.9859126100237136,0.7124498905222979,0.38411829323066565,0.6928561242471992,0.7966701177927554,0.8746084946269997,0.8681660016264733,0.7596914286812557,0.8629272617049374,0.8303189428001863,0.8718548058494857,0.7586907346947913,0.7892600346470844,0.7327017696470354,0.880826630176299,0.5313755805594921,0.8683919440552629,0.7973765912380877,0.7001056562554008,0.9591066514406358,0.33371535733484975,0.9992449311917059,0.44906299715991493,0.9248767165935703,0.9850535197373034,0.7258813718959529,0.4261291543447439,0.38624752869142776,0.6413609150855744,0.6344327357988863,1.0,0.40927128779451283,0.36286709353613933,0.5147798197030321,0.4559189440839237,0.9595809974931317,0.5019341578008613,0.48353972929184297,0.6421843708532834,0.4012762240318499
