ticker,retorno_total,cagr,volatilidade,sharpe,sortino,max_drawdown,calmar,skew,kurtosis,pct_meses_positivos,melhor_mes,pior_mes,nome_ativo,classe,subclasse,regiao,pais,tipo_ativo,grupo_universo,rank_cagr,rank_vol,rank_sharpe,rank_sortino,rank_calmar
EZA,2.6266687118475174,0.12095961709691605,0.3560851439492338,0.4881556374104028,0.7275854157851467,-0.41105105365524386,0.2942690841473116,0.008949575424552858,2.8971135738996217,0.6,0.1655534306048021,-0.18421993578354956,iShares MSCI South Africa ETF,ETF,Africa do Sul,Africa,Africa do Sul,etf,etfs,28.0,42.0,35.0,34.0,25.0
ENZL,1.9838850054388062,0.10174376315089839,0.26409101514573047,0.48638617949024987,0.727890551578432,-0.4386429574124525,0.2319512064004929,0.34154810895890564,8.044659395381005,0.5703703703703704,0.18677663628909524,-0.14992629804748747,iShares MSCI New Zealand ETF,ETF,Nova Zelandia,Oceania,Nova Zelandia,etf,etfs,35.0,29.0,36.0,33.0,35.0
^MXX,1.6488626257674603,0.09017533036198211,0.22645918952455069,0.4819188325077115,0.7034225714917396,-0.38214723181215227,0.2359701257925337,-0.052920961396693764,4.2384978744768915,0.6,0.18893512899783294,-0.23467649139585556,Mexico IPC,Equity Index,Broad Market,America Latina,Mexico,indice,indices,39.0,7.0,37.0,37.0,34.0
ECH,1.9188255913711911,0.09959320968528806,0.3058935427209257,0.4531182965912682,0.6516066092825312,-0.5251975120266147,0.1896300104335626,0.013670055960037049,5.333636889472766,0.6074074074074074,0.21103242780594145,-0.15614136015915558,iShares MSCI Chile ETF,ETF,Chile,America Latina,Chile,etf,etfs,36.0,38.0,38.0,39.0,39.0
BZ=F,2.185070730989175,0.1081336642355677,0.4258346204748816,0.44748861436389475,0.5988180589813353,-0.7016633494285995,0.15411046383372665,-0.18369475756663264,9.285549584948873,0.5407407407407407,0.6733630637093366,-0.4788325685398722,Brent Crude Oil,Commodity,Petroleo,Global,Global,commodity,alternativos,33.0,44.0,39.0,41.0,41.0
MCHI,1.6667729712856745,0.09082664983615496,0.3214687630232029,0.42097548855848066,0.6775461917425144,-0.6386349328770067,0.14221998384427095,0.6340027672517797,6.365392703459474,0.562962962962963,0.3161761884343881,-0.18121155921803156,iShares MSCI China ETF,ETF,China,Asia,China,etf,etfs,38.0,39.0,40.0,38.0,42.0
SMAL11.SA,1.385620864707238,0.08010839838562811,0.25788106811971595,0.4196519538230294,0.5146154884124365,-0.5105657495201594,0.15690123840252834,-1.135180722935015,13.276333312722551,0.562962962962963,0.17532461374245,-0.3748213015843871,iShares Small Caps ETF,ETF,Brasil Small Caps,Brasil,Brasil,etf,etfs,41.0,26.0,41.0,43.0,40.0
BRL=X,0.8826700545373982,0.05767837111821561,0.1673423741709412,0.4074776316911123,0.6277706883320062,-0.26801753211207313,0.21520372441194277,0.281840578426396,3.672595659774896,0.5481481481481482,0.15784428939959105,-0.09297043740701949,USDBRL,FX,Cambio,Brasil,Brasil,cambio,alternativos,44.0,1.0,42.0,40.0,38.0
^HSI,1.0320599806000814,0.06486081285429157,0.24288634174230878,0.37140445766295416,0.5661073653130169,-0.5705076180585202,0.11368965251510178,0.1716920948876467,3.908193625778415,0.5333333333333333,0.2663410607374044,-0.17528363391115276,Hang Seng,Equity Index,Broad Market,Asia,Hong Kong,indice,indices,42.0,22.0,43.0,42.0,44.0
000001.SS,1.0232292786163093,0.06449828669365054,0.24792024716811048,0.36793696099035084,0.49348898329982804,-0.49133701466271296,0.13127097037036084,-0.234965412903121,3.7359826224051367,0.5703703703703704,0.2680522575287747,-0.21509761919765935,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,43.0,23.0,44.0,44.0,43.0
USO,0.4597159019256998,0.03409236805448801,0.4190069923384448,0.2891479957345057,0.3896515603455967,-0.8163095601369211,0.0417640190919357,-0.41293115095328253,9.19932713213314,0.5481481481481482,0.5912886894994234,-0.48417729090731143,United States Oil Fund,ETF,Petroleo,Global,Global,etf,etfs,45.0,43.0,45.0,45.0,45.0
