carteira,tipo,coluna_retorno,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,n_ativos_com_peso,peso_max,top3_peso,hhi,n_efetivo_ativos,classificacao_concentracao,pct_ativos_no_limite_min,pct_ativos_no_limite_max,ajuste_limites
etfs_latam,max_sharpe,etfs_latam__max_sharpe,0.14912317280704546,0.18670189147877456,0.9270613290279923,1.4529763547874572,-0.25289233916005915,0.5896705819651709,0.6222222222222222,3,0.3333333333333333,1.0,0.3333333333333333,3.0,alta,0.0,1.0,ajuste_max_para_viabilidade
etfs_latam,min_vol,etfs_latam__min_vol,0.14912317280704546,0.18670189147877456,0.9270613290279923,1.4529763547874572,-0.25289233916005915,0.5896705819651709,0.6222222222222222,3,0.3333333333333333,1.0,0.3333333333333333,3.0,alta,0.0,1.0,ajuste_max_para_viabilidade
etfs_asia,max_sharpe,etfs_asia__max_sharpe,0.13521123150547587,0.17353655822104683,0.8923987214325875,1.4241226171644925,-0.3707826181660434,0.3646644283765366,0.6444444444444445,6,0.16666666666666669,0.5,0.1666666666666667,5.999999999999998,media,0.0,1.0,ajuste_max_para_viabilidade
etfs_asia,min_vol,etfs_asia__min_vol,0.13521123150547587,0.17353655822104683,0.8923987214325875,1.4241226171644925,-0.3707826181660434,0.3646644283765366,0.6444444444444445,6,0.16666666666666669,0.5,0.1666666666666667,5.999999999999998,media,0.0,1.0,ajuste_max_para_viabilidade
etfs_europa,max_sharpe,etfs_europa__max_sharpe,0.11916354072761881,0.17433331812840042,0.8173666266971791,1.2816753288387708,-0.33705643001506136,0.3535418111510111,0.6074074074074074,3,0.3333333333333333,1.0,0.3333333333333333,3.0,alta,0.0,1.0,ajuste_max_para_viabilidade
etfs_europa,min_vol,etfs_europa__min_vol,0.11916354072761881,0.17433331812840042,0.8173666266971791,1.2816753288387708,-0.33705643001506136,0.3535418111510111,0.6074074074074074,3,0.3333333333333333,1.0,0.3333333333333333,3.0,alta,0.0,1.0,ajuste_max_para_viabilidade
etfs_oceania,max_sharpe,etfs_oceania__max_sharpe,0.10608493341222269,0.1844917873849193,0.7223268701389715,1.3033494627051305,-0.3108083787756095,0.34131941304198726,0.5555555555555556,2,0.5,1.0,0.5,2.0,alta,0.0,1.0,ajuste_max_para_viabilidade
etfs_oceania,min_vol,etfs_oceania__min_vol,0.10608493341222269,0.1844917873849193,0.7223268701389715,1.3033494627051305,-0.3108083787756095,0.34131941304198726,0.5555555555555556,2,0.5,1.0,0.5,2.0,alta,0.0,1.0,ajuste_max_para_viabilidade
etfs_brasil,max_sharpe,etfs_brasil__max_sharpe,0.10903389652758522,0.22882591122595267,0.5994865206226014,0.7941913119378834,-0.39950601292064114,0.2729217909149317,0.5703703703703704,2,0.5,1.0,0.5,2.0,alta,0.0,1.0,ajuste_max_para_viabilidade
etfs_brasil,min_vol,etfs_brasil__min_vol,0.10903389652758522,0.22882591122595267,0.5994865206226014,0.7941913119378834,-0.39950601292064114,0.2729217909149317,0.5703703703703704,2,0.5,1.0,0.5,2.0,alta,0.0,1.0,ajuste_max_para_viabilidade
