ticker,periodo,cagr,retorno_total
EWU,primeira_metade,0.12442668736042695,0.9362943484597965
EWW,primeira_metade,0.05857710756329371,0.37815745268106316
EWY,primeira_metade,0.18915477473664577,1.6541804315586957
EZA,primeira_metade,0.08811051993752406,0.6092886818440253
FEZ,primeira_metade,0.17706962872066523,1.5057314189010609
GC=F,primeira_metade,0.24360648214507474,2.4157882695094193
GLD,primeira_metade,0.23875086687131009,2.3413186941488697
IEMG,primeira_metade,0.19521300149277043,1.7312745221967325
INDA,primeira_metade,0.16870571189109418,1.4070469018034597
MCHI,primeira_metade,0.24183546283245816,2.3884699897183026
QQQ,primeira_metade,0.3756783977749809,5.032164073082493
SMAL11.SA,primeira_metade,0.1573293090662371,1.2779699914884293
SPY,primeira_metade,0.27077112612259624,2.85804330248273
USO,primeira_metade,-0.15115669042845703,-0.6028277137251412
VEA,primeira_metade,0.19261416906640627,1.697980558091401
VT,primeira_metade,0.23223766510632116,2.2435288513328806
XLE,primeira_metade,0.02965276859449051,0.17897942519864185
^AXJO,primeira_metade,0.13839672406886483,1.075803912112543
^BVSP,primeira_metade,0.1400356386340731,1.0926987137203166
^FTSE,primeira_metade,0.09042411003848394,0.6286637186133752
^GDAXI,primeira_metade,0.19149938357597485,1.6838015889522144
^GSPC,primeira_metade,0.2462122303108072,2.456311535747373
^HSI,primeira_metade,0.1518397820349997,1.2177544128573494
^KS11,primeira_metade,0.1604906132478472,1.3132526919261367
^MXX,primeira_metade,0.042313697184546806,0.2630256850125472
^N225,primeira_metade,0.22265637448514575,2.0988416623370476
^NDX,primeira_metade,0.36276547020425376,4.719991606358027
^NSEI,primeira_metade,0.16667781395035464,1.383608145050239
^NZ50,primeira_metade,0.2631339873579437,2.722058456524898
^STOXX50E,primeira_metade,0.15047870076295533,1.2004938442535313
^TWII,primeira_metade,0.21757869701329713,2.02712656789446
000001.SS,segunda_metade,0.012210788065665668,0.07084861555101685
ACWI,segunda_metade,0.10790599295385017,0.782359080054321
ARGT,segunda_metade,0.24886722329137623,2.502265830221922
BOVA11.SA,segunda_metade,0.12755342591878072,0.96812183360763
BRL=X,segunda_metade,-0.020998007308323685,-0.11280390879854785
BTC-USD,segunda_metade,0.35960777114682996,4.655216905675983
BZ=F,segunda_metade,0.11697226353960843,0.8661981656368252
ECH,segunda_metade,0.11213100484987049,0.8210349706667821
ENZL,segunda_metade,-0.04658268340719829,-0.23588823243026769
EWA,segunda_metade,0.08686078522461904,0.5996313788113172
EWG,segunda_metade,0.06558972536923813,0.4308924153027043
EWH,segunda_metade,0.0214227380800609,0.1269869559490695
EWJ,segunda_metade,0.07916356197171459,0.5367786325549233
EWT,segunda_metade,0.16873156375586418,1.4094031094695665
EWU,segunda_metade,0.1247457106342229,0.940640592932753
EWW,segunda_metade,0.1727496258155634,1.4564957351357162
EWY,segunda_metade,0.15581343104900358,1.2630029185285174
EZA,segunda_metade,0.14747048046340505,1.1724037676721082
FEZ,segunda_metade,0.11072053083361344,0.8080474376979219
GC=F,segunda_metade,0.15173096411308795,1.2182893923621663
GLD,segunda_metade,0.14620957153342062,1.158974490329118
IEMG,segunda_metade,0.07184818067879672,0.47894099276739777
INDA,segunda_metade,0.06404152676041064,0.4192066581433118
MCHI,segunda_metade,-0.045817086952195996,-0.23242118432534642
QQQ,segunda_metade,0.13679687497918147,1.0608665405437807
SMAL11.SA,segunda_metade,0.009510690857087223,0.05483732950946063
SPY,segunda_metade,0.1268627065182133,0.9613317314400702
USO,segunda_metade,0.25395931842894903,2.5835704844926934
VEA,segunda_metade,0.10273805175666517,0.7359729450034476
VT,segunda_metade,0.10893139136691898,0.7916829132803098
XLE,segunda_metade,0.2388840254820166,2.347266848431451
